Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Belnet2005,0003,0.628,5.801,0.71,5.8870000000000005,0.900084035,0.9000508249999999
Belnet2005,0004,0.976,7.016,1.058,7.102,1.3781443999999992,1.3781444
Belnet2006,0000,1.004,7.032,1.191,7.561,1.071694,1.03158214
Belnet2006,0001,0.435,4.274,0.622,4.803,2.4837864,2.127982
Belnet2006,0002,0.807,3.336,0.994,3.8649999999999998,1.0638943,1.0639348
Belnet2006,0003,0.895,4.283,1.082,4.812,1.1011547999999998,1.10119254
Belnet2006,0004,0.457,1.935,0.644,2.464,0.9000181999999999,0.9000859
Belnet2007,0000,0.204,0.838,0.251,0.952,0.8999801999999997,0.9000323666666664
Belnet2007,0001,0.278,0.885,0.325,0.999,0.8999943333333333,0.8999806666666665
Belnet2007,0002,0.265,1.139,0.312,1.2530000000000001,0.899986,0.899986
Belnet2007,0003,0.243,0.81,0.29,0.924,0.900036,0.900046
Belnet2007,0004,0.228,0.907,0.275,1.0210000000000001,0.899993,0.899991
Belnet2008,0000,0.27,1.144,0.32,1.2679999999999998,0.8999833333333332,0.9000096666666666
Belnet2008,0001,0.253,0.861,0.303,0.985,0.9000163333333334,0.9000593333333335
Belnet2008,0002,0.205,0.827,0.255,0.951,0.9000039999999999,0.90003
Belnet2008,0003,0.247,0.986,0.297,1.1099999999999999,0.9000341666666667,0.8999829999999999
Belnet2008,0004,0.259,0.922,0.309,1.046,0.900004,0.90004
Belnet2009,0000,0.276,1.254,0.32,1.38,0.899996,0.900048
Belnet2009,0001,0.334,1.129,0.378,1.255,0.8999780000000001,0.899991
Belnet2009,0002,0.326,1.264,0.37,1.3900000000000001,0.900022,0.900006
Belnet2009,0003,0.264,1.105,0.308,1.2309999999999999,0.899985,0.900031
Belnet2009,0004,0.279,0.829,0.323,0.955,0.8999823333333331,0.9000313333333332
Belnet2010,0000,0.304,0.744,0.349,0.842,0.900010666666666,0.9000229333333334
Belnet2010,0001,0.249,0.684,0.294,0.782,0.9000363333333332,0.9000283333333333
Belnet2010,0002,0.299,0.99,0.344,1.088,0.900064,0.900004
Belnet2010,0003,0.204,0.768,0.249,0.866,0.9000315,0.9000549999999999
Belnet2010,0004,0.204,0.765,0.249,0.863,0.900028,0.900056
BeyondTheNetwork,0000,2.787,53.981,3.002,56.211,0.89999625,0.8999887499999999
BeyondTheNetwork,0001,2.795,33.354,3.01,35.583999999999996,0.8999751666666667,0.8999690833333333
BeyondTheNetwork,0002,2.884,45.154,3.0989999999999998,47.384,0.899963,0.89999925
BeyondTheNetwork,0003,2.82,28.995,3.0349999999999997,31.225,0.89992,0.899994375
BeyondTheNetwork,0004,2.744,54.031,2.959,56.260999999999996,0.9000005833333333,0.8999919166666667
Bics,0000,1.146,14.843,1.262,16.589,0.8999651666666665,0.8999643333333331
Bics,0001,0.801,19.149,0.917,20.895,0.899956,0.900029
Bics,0002,1.409,22.573,1.5250000000000001,24.319,0.9000367916666665,0.8999751666666667
Bics,0003,0.871,18.896,0.987,20.642,0.8999835,0.8999946666666666
Bics,0004,0.943,12.856,1.059,14.602,0.8999524999999999,0.899948
Biznet,0000,0.311,1.271,0.371,1.379,0.899952,0.900012
Biznet,0001,0.365,0.745,0.425,0.853,0.8999715,0.900007
Biznet,0002,0.318,0.729,0.378,0.837,0.900029,0.8999765
Biznet,0003,0.535,1.151,0.595,1.2590000000000001,0.899952,0.899958
Biznet,0004,0.445,0.712,0.505,0.82,0.899954,0.9000305
Bren,0000,0.189,0.191,0.21,0.232,0.8999297752808989,0.8999578651685394
Bren,0001,0.167,0.216,0.188,0.257,0.8999564606741574,0.899936797752809
Bren,0002,0.178,0.215,0.19899999999999998,0.256,0.899941011235955,0.8999634831460674
Bren,0003,0.208,0.194,0.22899999999999998,0.23500000000000001,0.8999199438202248,0.8999676966292135
Bren,0004,0.227,0.295,0.248,0.33599999999999997,0.899986,0.899996
BsonetEurope,0000,0.364,1.128,0.40599999999999997,1.2409999999999999,0.9000264166666665,0.9000276666666666
BsonetEurope,0001,3.123,1.52,3.165,1.633,0.9000475833333332,0.9000280833333333
BsonetEurope,0002,0.399,1.894,0.441,2.007,0.9000406666666667,0.9000166666666665
BsonetEurope,0003,0.356,1.334,0.39799999999999996,1.447,0.9000649999999999,0.9000529166666666
BsonetEurope,0004,0.379,1.758,0.421,1.871,0.9000074166666667,0.9000732499999999
BtAsiaPac,0000,4.268,12.52,4.314,12.696,0.9000809999999999,0.9000800833333332
BtAsiaPac,0001,6.173,18.367,6.219,18.543,0.900068,0.9000864999999999
BtAsiaPac,0002,4.951,12.254,4.997,12.43,0.9000594166666667,0.900041625
BtAsiaPac,0003,1.633,5.576,1.679,5.752,0.90007575,0.9000660833333333
BtAsiaPac,0004,1.251,3.805,1.297,3.9810000000000003,0.9000705,0.9000715
BtEurope,0000,0.898,6.794,0.9550000000000001,7.2139999999999995,0.900016,0.8999905
BtEurope,0001,0.69,16.306,0.747,16.726000000000003,0.9000005,0.900049
BtEurope,0002,1.197,8.137,1.254,8.557,0.90006,0.900018
BtEurope,0003,0.62,4.385,0.677,4.805,0.900031,0.899993
BtEurope,0004,0.783,13.298,0.8400000000000001,13.718,1.1317949999999999,1.1317949999999999
BtLatinAmerica,0000,0.405,1.135,0.517,1.341,0.899748,0.899748
BtLatinAmerica,0001,0.378,1.11,0.49,1.316,0.899738,0.899738
BtLatinAmerica,0002,0.425,1.054,0.537,1.26,0.899758,0.899758
BtLatinAmerica,0003,0.403,1.136,0.515,1.3419999999999999,0.899746,0.899746
BtLatinAmerica,0004,0.381,1.012,0.493,1.218,0.89975,0.89975
BtNorthAmerica,0000,38.225,1808.519,38.402,1831.771,0.9000503194444444,0.9000418805555555
BtNorthAmerica,0001,47.495,1806.613,47.672,1829.865,0.9000544166666666,0.90005975
BtNorthAmerica,0002,41.694,942.576,41.871,965.828,0.9000769999999999,0.900089
BtNorthAmerica,0003,584.572,1807.516,584.749,1830.768,0.9000657083333332,0.9001148833333332
BtNorthAmerica,0004,44.576,1375.977,44.753,1399.229,0.9000305,0.900033
Canerie,0000,0.632,3.396,0.706,3.683,0.899991,0.899945
Canerie,0001,0.417,2.697,0.491,2.984,0.8999429999999999,0.899941
Canerie,0002,0.692,3.716,0.7659999999999999,4.003,0.899992,0.899948
Canerie,0003,0.457,3.734,0.531,4.021,0.899979,0.899947
Canerie,0004,0.666,4.163,0.74,4.45,0.899976,0.8999425
Carnet,0000,0.105,0.108,0.147,0.16,0.899842,0.899842
Carnet,0001,0.108,0.108,0.15,0.16,0.899832,0.899832
Carnet,0002,0.108,0.107,0.15,0.159,0.899832,0.899832
Carnet,0003,0.107,0.109,0.149,0.161,0.899839,0.899839
Carnet,0004,0.105,0.108,0.147,0.16,0.899834,0.899834
Cernet,0000,3.169,9.655,3.227,9.758,0.9778322580645161,0.8998043010752688
Cernet,0001,1.378,16.448,1.436,16.551000000000002,0.9000111836495044,0.8999808945987633
Cernet,0002,1.289,17.507,1.347,17.610000000000003,0.8999612903225807,0.8999861369344685
Cernet,0003,1.366,12.567,1.4240000000000002,12.67,0.8998559139784944,0.8998107526881723
Cernet,0004,0.922,16.115,0.9800000000000001,16.218,0.899804301075269,0.8998548387096774
Cesnet1993,0000,0.04,0.041,0.147,0.24200000000000002,0.8981666666666667,0.8981666666666667
Cesnet1993,0001,0.053,0.039,0.16,0.24000000000000002,0.8975,0.8975
Cesnet1993,0002,0.04,0.04,0.147,0.24100000000000002,0.8975,0.8975
Cesnet1993,0003,0.06,0.039,0.16699999999999998,0.24000000000000002,0.8975,0.8975
Cesnet1993,0004,0.038,0.039,0.145,0.24000000000000002,0.8985,0.8985
Cesnet1997,0000,0.061,0.075,0.086,0.103,0.8994705882352941,0.8994705882352941
Cesnet1997,0001,0.05,0.043,0.07500000000000001,0.071,0.8995,0.8995
Cesnet1997,0002,0.085,0.067,0.11000000000000001,0.095,0.8994705882352941,0.8994705882352941
Cesnet1997,0003,0.042,0.041,0.067,0.069,0.8993529411764706,0.8993529411764706
Cesnet1997,0004,0.052,0.04,0.077,0.068,0.8993823529411765,0.8993823529411765
Cesnet1999,0000,0.043,0.05,0.154,0.6110000000000001,0.8998774193548387,0.8998774193548387
Cesnet1999,0001,0.044,0.043,0.155,0.6040000000000001,0.8998529411764706,0.8998529411764706
Cesnet1999,0002,0.043,0.042,0.154,0.6030000000000001,0.89925,0.89925
Cesnet1999,0003,0.043,0.042,0.154,0.6030000000000001,0.8992258064516129,0.8992258064516129
Cesnet1999,0004,0.043,0.043,0.154,0.6040000000000001,0.8998529411764706,0.8998529411764706
Cesnet2001,0000,0.167,0.115,0.494,1.211,1.0319967741935483,0.8999863952519429
Cesnet2001,0001,0.102,0.12,0.429,1.2160000000000002,1.608474193548387,0.8999709677419353
Cesnet2001,0002,0.097,0.113,0.42400000000000004,1.209,1.8356548387096774,0.9000073692385309
Cesnet2001,0003,0.094,0.107,0.42100000000000004,1.203,1.6047483870967743,0.8999540839753074
Cesnet2001,0004,0.109,0.117,0.436,1.213,1.0544806451612903,0.8999869621164454
Cesnet200304,0000,0.263,0.675,0.343,0.766,0.900069,0.9000216666666666
