Topology,DemandFile,ExitCode_SRPP,Time_SRPP,Umax_SRPP,ExitCode_MIP,Time_MIP,Umax_MIP,ExitCode_full,Time_full,Umax_full,ExitCode_CG4SR,Time_CG4SR,Umax_CG4SR
AsnetAm,1,0,1.814,0.899732,0,3.326367843,0.899732,0,4.561,0.899732,0,148.904457544,0.899732
AsnetAm,2,0,1.587,0.899717,0,7.119878901,0.899717,0,4.16,0.899717,0,184.599570585,0.899744875
AsnetAm,3,0,1.779,0.899718,0,4.320353097,0.899718,0,4.279,0.899718,0,146.123598873,0.899718
AsnetAm,4,0,2.151,0.899929,0,6.542043287,0.899908,0,5.383,0.899862125,0,239.193307663,0.90095175
Atmnet,0,0,0.22,0.8998419355,0,0.186902748,0.8998516129,0,0.264,0.8998548387,0,1.177063189,0.8998677419
Atmnet,1,0,0.282,0.8998806452,0,0.486309255,0.8999,0,0.553,0.8998967742,0,1.173525505,0.8998967742
Atmnet,2,0,0.253,0.8998516129,0,0.475794849,0.8998677419,0,0.332,0.8999,0,1.049178954,0.8998935484
Atmnet,3,0,0.24,0.8998774194,0,0.346728723,0.8998516129,0,0.229,0.8999322581,0,1.00965249,0.8998806452
Atmnet,4,0,0.335,0.8998903226,0,0.592937365,0.8998903226,0,0.23,0.8998935484,0,1.010928805,0.8998806452
AttMpls,0,0,194.415,0.900083,0,1296.314093012,0.9000768611,0,142.369,0.9000771667,0,666.279290834,0.9122144861
AttMpls,1,0,131.759,0.9000855,1,1801.129701703,0.90010975,0,220.315,0.9001031667,0,1302.623413865,0.903853375
AttMpls,2,0,5.715,0.9000504583,0,13.960096098,0.9000202833,0,5.23,0.9000588333,0,19.651817551,0.913654125
AttMpls,3,0,12.176,0.90005625,0,9.061447807,0.90005075,0,8.471,0.90007225,0,8.296432105,0.91276425
AttMpls,4,0,9.406,0.9000545,0,13.322483173,0.9000483333,0,8.913,0.900024,0,4.256594975,0.90007375
Azrena,0,0,0.131,0.89996,0,0.130521222,0.89996,0,0.153,0.89996,0,1.126245436,0.89996
Azrena,1,0,0.135,0.899949,0,0.13859533,0.899949,0,0.147,0.899949,0,1.15977364,0.899949
Azrena,2,0,0.098,0.899956,0,0.133536603,0.899956,0,0.149,0.899956,0,1.088606198,0.899956
Azrena,3,0,0.105,0.899946,0,0.127112326,0.899946,0,0.188,0.899946,0,1.0213694,0.899946
Azrena,4,0,0.111,0.899962,0,0.12731144,0.899962,0,0.215,0.899962,0,1.105775016,0.899962
Bandcon,0,0,0.363,0.8999983333,0,0.374268585,0.900057,0,0.316,0.8999876667,0,1.298504827,0.9000611667
Bandcon,1,0,0.337,0.90004525,0,0.349452177,0.8999953333,0,0.304,0.900019,0,1.310207322,0.90002625
Bandcon,2,0,0.257,0.8999835,0,0.31905459,0.899976,0,0.27,0.8999805,0,1.304816956,0.9000125
Bandcon,3,0,0.284,0.8999955,0,0.648520367,0.900009,0,0.266,0.9000314167,0,1.266328056,0.8999956667
Bandcon,4,0,0.237,0.8999915,0,0.353338681,0.90006,0,0.243,0.9000195,0,1.237639951,0.8999995
Basnet,0,0,0.072,0.8997419355,0,0.032337768,0.8997419355,0,0.065,0.8997419355,0,0.163732294,0.8997419355
