Topology,DemandFile,ExitCode_SRPP,Time_SRPP,Umax_SRPP,ExitCode_full,Time_full,Umax_full,ExitCode_CG4SR,Time_CG4SR,Umax_CG4SR
AsnetAm,0004,0,17.613,0.89986775,0,1258.895,0.8999025,0,207.315044702,0.90152975
Atmnet,0000,0,0.333,0.8998548387096774,0,2.74,0.8999032258064517,0,1.146864415,0.8998290322580645
Atmnet,0001,0,0.46599999999999997,0.8999,0,2.812,0.8998709677419355,0,1.194685116,0.8998967741935484
Atmnet,0002,0,0.363,0.8998709677419338,0,2.82,0.8998903225806452,0,1.160467013,0.8998935483870968
Atmnet,0003,0,0.511,0.8998903225806452,0,2.882,0.8998903225806452,0,1.018205064,0.8998806451612903
Atmnet,0004,0,0.451,0.8998548387096774,0,2.858,0.8998645161290323,0,1.017813424,0.8998419354838709
AttMpls,0000,0,435.99899999999997,0.9000786666666666,1,1803.149,0.9000995833333334,0,4.194534307,0.9480421666666666
AttMpls,0001,1,1804.365,0.9000915000000002,1,1802.83,0.9001067916666666,0,132.509474514,0.9043737083333333
AttMpls,0002,0,277.23299999999995,0.9000370416666666,0,135.702,0.9000265416666666,0,12.097275295,0.9373379166666667
AttMpls,0003,0,169.512,0.9000516666666666,0,234.208,0.9000589166666666,0,6.226367492,0.9163249
AttMpls,0004,0,51.451,0.9000645,0,32.989,0.9000486666666666,0,7.196435748,0.9000491666666668
Azrena,0000,0,0.119,0.89996,0,2.412,0.89996,0,1.215052097,0.89996
Azrena,0001,0,0.10799999999999998,0.899949,0,2.424,0.899949,0,1.248300948,0.899949
Azrena,0002,0,0.11099999999999999,0.899956,0,2.612,0.899956,0,0.9400677,0.899956
Azrena,0003,0,0.147,0.899946,0,2.666,0.899946,0,1.169670247,0.899946
Azrena,0004,0,0.141,0.899962,0,2.361,0.899962,0,1.10733876,0.899962
Bandcon,0000,0,1.927,0.9000143333333332,0,3.475,0.9000045833333333,0,1.466879607,0.8999871666666667
Bandcon,0001,0,1.272,0.8999828333333333,0,3.028,0.9000203333333334,0,1.258051198,0.90006425
Bandcon,0002,0,1.166,0.90003,0,3.22,0.9000085,0,1.300569223,0.9000125
Bandcon,0003,0,1.481,0.9000070833333332,0,3.405,0.9000659999999999,0,1.250375677,0.8999988333333334
Bandcon,0004,0,1.164,0.899994,0,3.178,0.9000605,0,1.31015927,0.8999995
Basnet,0000,0,0.049,0.8997419354838709,0,0.061,0.8997419354838709,0,0.187645096,0.8997419354838709
Basnet,0001,0,0.048,0.8996129032258064,0,0.048,0.8996129032258064,0,0.170211441,0.8996129032258064
Basnet,0002,0,0.069,0.8996129032258064,0,0.101,0.8996129032258064,0,0.175090869,0.8996129032258064
Basnet,0003,0,0.059000000000000004,0.8996129032258064,0,0.059,0.8996129032258064,0,0.168105655,0.8996129032258064
Basnet,0004,0,0.052000000000000005,0.8997419354838709,0,0.05,0.8997419354838709,0,0.161124462,0.8997419354838709
Bbnplanet,0000,0,0.334,0.8990555555555556,0,5.946,0.8990666666666667,0,2.302451472,0.8990666666666667
Bbnplanet,0001,0,0.363,0.8991555555555556,0,5.751,0.8991333333333333,0,2.132838482,0.8991444444444444
Bbnplanet,0002,0,0.294,0.898988888888889,0,5.979,0.8989999999999999,0,1.963590419,0.8990111111111111
Bbnplanet,0003,0,0.296,0.8989333333333334,0,5.779,0.8989222222222222,0,2.074391206,0.899
Bbnplanet,0004,0,0.372,0.8989666666666667,0,5.832,0.8989666666666667,0,2.230759831,0.899
Bellcanada,0000,0,37.486999999999995,0.899876,0,996.598,0.8999205,0,41.169926903,0.899949
Bellcanada,0001,0,38.829,0.899953,0,606.063,0.8998815,0,41.562439436,0.8999205
Bellcanada,0002,0,36.062999999999995,0.8998775,0,625.648,0.899954,0,43.768668591,0.8999445
Bellcanada,0003,0,39.123,0.8998745,0,617.275,0.8998745,0,46.649423106,0.899877
Bellcanada,0004,0,54.305,0.899904,0,591.492,0.8998774999999997,0,41.721384667,0.899948
Bellsouth,0000,0,18.966,0.899881,0,478.101,0.899881,0,45.662049582,0.899881
Bellsouth,0001,0,19.332,0.899906,0,478.538,0.899906,0,50.339900132,0.899906
Bellsouth,0002,0,18.63,0.899886,0,475.567,0.8998859999999999,0,46.485591038,0.899886
Bellsouth,0003,0,18.694,0.899881,0,442.898,0.899881,0,44.675384542,0.899881
Bellsouth,0004,0,18.806,0.8998925,0,512.368,0.8998974999999999,0,47.651948827,0.899931
Belnet2003,0000,0,2.887,2.054439666666666,0,5.706,2.054439666666666,0,2.092201251,2.4653276
Belnet2003,0001,0,1.896,2.71246,0,4.805,2.71246,0,1.772782902,3.254952
Belnet2003,0002,0,1.9749999999999999,2.5179169999999997,0,4.887,2.5179169999999997,0,2.041055509,3.0215004
Belnet2003,0003,0,1.189,0.89999,0,3.816,0.89999,0,2.047518404,0.89999
Belnet2003,0004,0,1.929,2.41846,0,5.179,2.41846,0,1.870340934,2.902152
Belnet2004,0000,0,2.317,2.644662,0,4.915,2.644662,0,2.183597504,3.1735944
Belnet2004,0001,0,7.479,1.1139222,0,11.594,1.1139227999999999,0,2.353390594,1.2184356
Belnet2004,0002,0,12.155,2.0691312,0,14.645,2.0691312,0,2.374512676,2.3108296
Belnet2004,0003,0,3.523,1.8017483333333333,0,5.459,1.801748333333333,0,2.046536352,2.162098
Belnet2004,0004,0,2.027,1.9748036666666664,0,5.415,1.9748036666666666,0,2.342712857,2.3697644
Belnet2005,0000,0,24.685,1.0547244,0,9.64,1.0547228,0,2.463178912,1.082918
Belnet2005,0001,0,2.356,0.9000558,0,4.752,0.9000459999999999,0,2.380059882,0.9000828
Belnet2005,0002,0,2.806,0.9000806,0,5.129,0.9000565,0,2.504531712,0.9049864
Belnet2005,0003,0,4.045,0.92144525,0,7.82,0.9213768333333334,0,2.245198447,0.9872732
Belnet2005,0004,0,4.917,1.3781444,0,7.013,1.3781444,0,2.235249639,1.45338
Belnet2006,0000,0,7.715000000000001,1.071694,0,11.082,1.071694,0,2.458831895,1.071694
Belnet2006,0001,0,1.89,3.546636666666666,0,4.776,3.5466366666666667,0,1.8049822,4.255964
Belnet2006,0002,0,4.876,1.0639576,0,8.075,1.0639348,0,2.524728904,1.1469392
Belnet2006,0003,0,3.461,1.1730283333333333,0,5.186,1.1730283333333333,0,2.429880793,1.228278
Belnet2006,0004,0,5.07,0.9000201999999999,0,4.39,0.9000122,0,2.499343586,0.9000805
Belnet2007,0000,0,0.952,0.9000323666666664,0,3.864,0.9000250333333332,0,1.260755414,0.8999972333333334
Belnet2007,0001,0,0.999,0.8999806666666665,0,3.731,0.89998,0,1.273994644,0.9000243333333332
Belnet2007,0002,0,1.2530000000000001,0.899986,0,3.922,0.900053,0,1.333852134,0.8999889999999999
Belnet2007,0003,0,0.924,0.900046,0,3.72,0.900043,0,1.367313734,0.900015
Belnet2007,0004,0,1.0210000000000001,0.899991,0,3.838,0.900043,0,1.294439919,0.89999
Belnet2008,0000,0,1.2679999999999998,0.9000096666666666,0,3.664,0.9000199999999999,0,1.365632,0.8999839999999999
Belnet2008,0001,0,0.985,0.9000593333333335,0,3.75,0.899979,0,1.402820884,0.8999936666666666
Belnet2008,0002,0,0.951,0.90003,0,3.69,0.899991,0,1.582450357,0.900038
Belnet2008,0003,0,1.1099999999999999,0.8999829999999999,0,3.859,0.9000162666666666,0,1.246043388,0.9000042333333333
Belnet2008,0004,0,1.046,0.90004,0,3.901,0.90006,0,1.514811771,0.900001
Belnet2009,0000,0,1.38,0.900048,0,4.371,0.900067,0,1.301462295,0.899988
Belnet2009,0001,0,1.255,0.899991,0,3.882,0.900065,0,1.384669299,0.90006
Belnet2009,0002,0,1.3900000000000001,0.900006,0,4.348,0.9000229997711441,0,1.143763858,0.900044
Belnet2009,0003,0,1.2309999999999999,0.900031,0,4.193,0.900013,0,1.146233121,0.900011
Belnet2009,0004,0,0.955,0.9000313333333332,0,3.719,0.9000266666666668,0,1.408159805,0.899978
Belnet2010,0000,0,0.842,0.9000229333333334,0,4.354,0.9000500000000001,0,1.619763759,0.8999979
Belnet2010,0001,0,0.782,0.9000283333333333,0,4.242,0.9000513333333331,0,1.632264793,0.8999903333333332
Belnet2010,0002,0,1.088,0.900004,0,4.553,0.9000265,0,1.568984012,0.9019775
Belnet2010,0003,0,0.866,0.9000549999999999,0,4.371,0.8999785,0,1.452544184,0.9000575
Belnet2010,0004,0,0.863,0.900056,0,4.122,0.900011,0,1.42222553,0.9000595
BeyondTheNetwork,0000,0,56.211,0.8999887499999999,0,983.909,0.899997875,0,72.071645759,0.899985375
BeyondTheNetwork,0001,0,35.583999999999996,0.8999690833333333,0,863.525,0.8999855,0,68.943830146,0.8999675
BeyondTheNetwork,0002,0,47.384,0.89999925,0,958.046,0.899981875,0,74.967063241,0.899968
BeyondTheNetwork,0003,0,31.225,0.899994375,1,1844.171,0.900006,0,75.84493959,0.89996475
BeyondTheNetwork,0004,0,56.260999999999996,0.8999919166666667,0,830.428,0.900001,0,74.467793301,0.8999795
Bics,0000,0,16.589,0.8999643333333331,0,36.291,0.8999851666666667,0,7.575896962,0.9000181666666667
Bics,0001,0,20.895,0.900029,0,34.56,0.899956,0,7.267098911,0.9000405
Bics,0002,0,24.319,0.8999751666666667,0,40.66,0.9000433333333332,0,10.506663552,0.90000825
Bics,0003,0,20.642,0.8999946666666666,0,36.085,0.9000068333333333,0,7.53412651,0.8999628333333334
Bics,0004,0,14.602,0.899948,0,32.907,0.899948,0,7.615713977,0.8999801666666667
Biznet,0000,0,1.379,0.900012,0,13.88,0.89999,0,4.029928406,0.900026
Biznet,0001,0,0.853,0.900007,0,13.78,0.9000265,0,3.194648642,0.9000315
Biznet,0002,0,0.837,0.8999765,0,14.037,0.8999885,0,3.477364117,0.900027
Biznet,0003,0,1.2590000000000001,0.899958,0,14.223,0.899983,0,3.826778943,0.899981
Biznet,0004,0,0.82,0.9000305,0,13.894,0.9000135,0,3.001963648,0.899957
Bren,0000,0,0.267,0.8999578651685394,0,22.238,0.8999325842696629,0,6.991941452,0.8999213483146068
Bren,0001,0,0.293,0.899936797752809,0,21.985,0.8999269662921349,0,6.907575179,0.8999241573033708
Bren,0002,0,0.298,0.8999634831460674,0,22.422,0.9,0,8.589887684,0.8999733146067416
Bren,0003,0,0.273,0.8999676966292135,0,21.9,0.899997191011236,0,7.940097197,0.8999311797752809
Bren,0004,0,0.34600000000000003,0.899996,0,22.394,0.900018,0,7.441559985,0.899977
BsonetEurope,0000,0,1.2409999999999999,0.9000276666666666,0,2.747,0.9000451666666666,0,1.120111502,0.9010907499999998
BsonetEurope,0001,0,1.633,0.9000280833333333,0,2.618,0.9000523333333332,0,1.521213816,0.9000079166666668
BsonetEurope,0002,0,2.007,0.9000166666666665,0,2.2,0.9000528333333334,0,1.012383013,0.9000476666666666
BsonetEurope,0003,0,1.447,0.9000529166666666,0,2.463,0.9000197499999999,0,0.967073329,0.9000710833333334
BsonetEurope,0004,0,1.871,0.9000732499999999,0,3.974,0.9000435833333333,0,1.886365841,0.9000231666666667
BtAsiaPac,0000,0,12.696,0.9000800833333332,0,7.611,0.9000723333333333,0,3.88793227,0.9000783333333334
BtAsiaPac,0001,0,18.543,0.9000864999999999,0,28.271,0.900059,0,5.110905204,0.9000654999999999
BtAsiaPac,0002,0,12.43,0.900041625,0,13.942,0.900078,0,1.80454471,0.9001860833333334
BtAsiaPac,0003,0,5.752,0.9000660833333333,0,8.54,0.9000799999999993,0,1.682650866,0.9002435833333332
BtAsiaPac,0004,0,3.9810000000000003,0.9000715,0,7.219,0.900056,0,3.761667327,0.900044
BtEurope,0000,0,7.2139999999999995,0.8999905,0,9.349,0.9000015,0,2.840253676,0.9000315
BtEurope,0001,0,16.726000000000003,0.900049,0,10.316,0.900038,0,2.851271571,0.9075781666666666
BtEurope,0002,0,8.557,0.900018,0,18.988,0.9000675,0,2.210204448,1.102091
BtEurope,0003,0,4.805,0.899993,0,8.895,0.900075,0,2.486318027,0.900026
BtEurope,0004,0,13.718,1.1317949999999999,0,17.392,1.131795,0,2.593906119,1.3428081666666667
BtLatinAmerica,0000,0,1.341,0.899748,0,361.874,0.899748,0,19.055964513,0.899748
BtLatinAmerica,0001,0,1.316,0.899738,0,375.496,0.899738,0,19.275783844,0.899738
BtLatinAmerica,0002,0,1.26,0.899758,0,365.473,0.899758,0,19.114639132,0.899758
BtLatinAmerica,0003,0,1.3419999999999999,0.899746,0,390.192,0.899746,0,19.014586796,0.899746
BtLatinAmerica,0004,0,1.218,0.89975,0,380.203,0.89975,0,19.357567975,0.89975
BtNorthAmerica,0000,1,1831.771,0.9000418805555555,1,1810.234,0.900226,0,65.943632373,0.9002467916666667
BtNorthAmerica,0001,1,1829.865,0.90005975,0,845.298,0.9000656666666665,0,31.001391713,0.9004422500000001
BtNorthAmerica,0002,0,965.828,0.900089,1,1811.417,0.9000408333333334,0,66.261426399,0.9025275694444446
BtNorthAmerica,0003,1,1830.768,0.9001148833333332,1,1810.707,0.9002777208333334,1,-,-
BtNorthAmerica,0004,0,1399.229,0.900033,0,690.307,0.900066,0,891.570263982,0.903561
Canerie,0000,0,3.683,0.899945,0,18.528,0.899954,0,6.081672141,0.900022
Canerie,0001,0,2.984,0.899941,0,17.719,0.899941,0,4.860568877,0.899965
Canerie,0002,0,4.003,0.899948,0,18.631,0.899982,0,5.826186067,0.900017
Canerie,0003,0,4.021,0.899947,0,17.804,0.900016,0,6.775503113,0.899979
Canerie,0004,0,4.45,0.8999425,0,18.8,0.900003,0,6.549527967,0.899997
Carnet,0000,0,0.236,0.899842,0,51.331,0.899842,0,14.071200052,0.899842
Carnet,0001,0,0.175,0.899832,0,59.504,0.899832,0,14.218576953,0.899832
Carnet,0002,0,0.201,0.899832,0,54.295,0.899832,0,14.569935521,0.899832
Carnet,0003,0,0.179,0.899839,0,53.049,0.899839,0,14.384743179,0.899839
Carnet,0004,0,0.177,0.899834,0,53.813,0.899834,0,14.392944035,0.899834
Cernet,0000,0,0.801,0.9565677419354839,0,132.632,0.9565876355435021,0,19.365582088,0.9566004501418925
Cernet,0001,0,0.8280000000000001,1.0418454885623882,0,193.026,1.0418454885623885,0,17.585931383,1.041914221408301
Cernet,0002,0,0.6960000000000001,1.0376387096774193,0,157.672,1.0376527849617192,0,15.178708469,1.0376838709677418
Cernet,0003,0,0.628,0.9492432,0,130.302,0.9492432,0,18.261143132,0.9492432
Cernet,0004,0,0.796,0.9283477555813401,0,168.446,0.9283559103257704,0,16.160369441,0.9284322580645161
Cesnet1993,0000,0,0.069,0.8981666666666667,0,0.182,0.8981666666666667,0,0.1986437,0.8981666666666667
Cesnet1993,0001,0,0.057999999999999996,0.8975,0,0.125,0.8975,0,0.193887149,0.8975
Cesnet1993,0002,0,0.079,0.8975,0,0.137,0.8975,0,0.229523023,0.8975
Cesnet1993,0003,0,0.056999999999999995,0.8975,0,0.122,0.8975,0,0.194545536,0.8975
Cesnet1993,0004,0,0.056999999999999995,0.8985,0,0.153,0.8985,0,0.196036916,0.8985
Cesnet1997,0000,0,0.103,0.8994705882352941,0,0.254,0.8994705882352941,0,0.331524453,0.8994705882352941
Cesnet1997,0001,0,0.071,0.8995,0,0.293,0.8995,0,0.336135858,0.8995
Cesnet1997,0002,0,0.095,0.8994705882352941,0,0.3,0.8994705882352941,0,0.343972903,0.8994705882352941
Cesnet1997,0003,0,0.069,0.8993529411764706,0,0.26,0.8993529411764706,0,0.339814907,0.8993529411764706
Cesnet1997,0004,0,0.068,0.8993823529411765,0,0.282,0.8993823529411765,0,0.354148611,0.8993823529411765
Cesnet1999,0000,0,0.075,0.8998774193548387,0,0.218,0.8998774193548387,0,0.328355118,0.8998774193548387
Cesnet1999,0001,0,0.065,0.8998529411764706,0,0.221,0.8998529411764706,0,0.328893329,0.8998529411764706
Cesnet1999,0002,0,0.067,0.89925,0,0.21,0.89925,0,0.323682039,0.89925
Cesnet1999,0003,0,0.064,0.8992258064516129,0,0.213,0.8992258064516129,0,0.328689898,0.8992258064516129
Cesnet1999,0004,0,0.064,0.8998529411764706,0,0.284,0.8998529411764706,0,0.374569586,0.8998529411764706
Cesnet2001,0000,0,0.227,1.0581070126807588,0,2.689,1.0581070126807588,0,1.268960709,1.058107012680759
Cesnet2001,0001,0,0.097,1.0581070126807588,0,2.686,1.0581070126807588,0,1.179205631,1.058107012680759
Cesnet2001,0002,0,0.11399999999999999,1.0581092801387684,0,2.673,1.0581092801387684,0,1.167128154,1.0581092801387684
Cesnet2001,0003,0,0.099,1.0581002103067303,0,2.46,1.0581002103067303,0,1.263680879,1.0581002103067303
Cesnet2001,0004,0,0.097,1.0581070126807588,0,2.765,1.0581070126807588,0,1.377651279,1.058107012680759
Cesnet200304,0000,0,0.28200000000000003,0.900074,0,6.945,0.900011,0,3.983779425,0.900055
Cesnet200304,0001,0,0.214,0.8999583333333333,0,7.167,0.8999583333333333,0,3.61172596,0.8999583333333333
Cesnet200304,0002,0,0.28200000000000003,0.9000408,0,6.902,0.9000408,0,3.297391803,0.9000456
Cesnet200304,0003,0,0.27,0.900026,0,7.092,0.9000568,0,3.442287967,0.9000548
Cesnet200304,0004,0,0.295,0.8999533333333333,0,7.108,0.8999533333333334,0,3.422919564,0.8999533333333334
Cesnet200511,0000,0,1.611,0.9001045,0,140.07,0.9000433,0,10.493307634,0.9000602482662793
Cesnet200511,0001,0,1.795,0.9000385371793318,0,100.132,0.9000646999999999,0,11.748224837,0.928796
Cesnet200511,0002,0,1.524,0.9000613,0,104.187,0.9000231,0,12.169055453,0.9000276
Cesnet200511,0003,0,1.708,0.9003142,0,179.412,0.9000505988943025,0,12.94039634,0.9000564
Cesnet200511,0004,0,2.348,0.9001615666720342,0,101.831,0.900073,0,12.530373406,0.900032
Cesnet200603,0000,0,1.5879999999999999,0.9004266,0,166.898,0.9001151,0,12.944367046,0.9001072
Cesnet200603,0001,0,1.458,0.899922,0,100.133,0.899922,0,9.643492204,0.9158282
Cesnet200603,0002,0,1.383,0.9002297153616192,0,132.488,0.9000915,0,10.522717143,0.8999896872337
Cesnet200603,0003,0,1.521,0.9001514,0,169.916,0.900052,0,9.313791787,1.0482762
Cesnet200603,0004,0,2.3680000000000003,0.9000686,0,158.178,0.9000252692928639,0,9.74295489,0.9264470590221929
Cesnet200706,0000,0,1.8800000000000001,0.9000753266261958,0,168.834,0.8999872,0,28.056438746,0.96381
Cesnet200706,0001,0,2.019,0.9000948452511076,0,182.861,0.9000266936278123,0,23.13345313,0.9750747159876512
Cesnet200706,0002,0,1.639,0.9000020500008288,0,190.399,0.9000516643825878,0,23.744229338,0.9000488
Cesnet200706,0003,0,2.6159999999999997,0.9000524276807687,0,171.558,0.9000382521431232,0,27.957862006,0.9000068478751088
Cesnet200706,0004,0,2.459,0.900100188338374,0,192.746,0.9000523186381714,0,24.867455356,0.9000540633197277
Cesnet201006,0000,0,11.445,0.8999914526305293,0,509.223,0.9000217881605704,0,55.435357524,0.9000157464931619
Cesnet201006,0001,0,11.386000000000001,0.8999571741175477,0,551.261,0.9000062070183061,0,55.054307945,0.8999930425430053
