Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Easynet,0001,0.002,0.149,0.151,0.899999
Easynet,0002,0.003,0.181,0.184,0.899988
Easynet,0003,0.001,0.178,0.179,0.899978
Easynet,0004,0.002,0.175,0.177,0.90002
Eenet,0000,0.001,0.048,0.049,1.907983
Eenet,0001,0.001,0.057,0.058,1.907977
Eenet,0002,0.001,0.047,0.048,1.907978
Eenet,0003,0.001,0.047,0.048,1.90798
Eenet,0004,0.001,0.047,0.048,1.907982
EliBackbone,0000,0.003,0.312,0.315,0.90003
EliBackbone,0001,0.003,0.367,0.37,0.900037
EliBackbone,0002,0.002,0.408,0.41,0.900075
EliBackbone,0003,0.002,0.373,0.375,0.900069
EliBackbone,0004,0.003,0.331,0.334,0.899996
Epoch,0000,0.0,0.027,0.027,1.073022222222222
Epoch,0001,0.0,0.032,0.032,0.9148000000000001
Epoch,0002,0.0,0.034,0.034,0.9212444444444418
Epoch,0003,0.0,0.026,0.026,1.035022222222222
Epoch,0004,0.001,0.034,0.035,0.9382444444444444
Ernet,0000,0.006,0.255,0.261,0.8999510000000001
Ernet,0001,0.005,0.351,0.356,0.899946
Ernet,0002,0.006,0.266,0.272,0.899949
Ernet,0003,0.01,0.282,0.292,0.899947
Ernet,0004,0.005,0.26,0.265,0.8999489999999999
Esnet,0000,0.024,5.104,5.128,1.311559826658204
Esnet,0001,0.025,4.972,4.997,1.3114584
Esnet,0002,0.025,5.09,5.115,1.3115774108180127
Esnet,0003,0.025,4.873,4.898,1.3115123019019646
Esnet,0004,0.024,4.92,4.944,1.3115362
Eunetworks,0000,0.001,0.122,0.123,0.899989
Eunetworks,0001,0.001,0.148,0.149,0.90007
Eunetworks,0002,0.001,0.121,0.122,0.900018
Eunetworks,0003,0.001,0.143,0.144,0.900058
Eunetworks,0004,0.001,0.148,0.149,0.900062
Evolink,0000,0.016,0.577,0.593,0.899949
Evolink,0001,0.008,0.671,0.679,0.899948
Evolink,0002,0.009,0.652,0.661,0.899928
Evolink,0003,0.008,0.558,0.566,0.900003
Evolink,0004,0.009,0.654,0.663,0.899977
Fatman,0000,0.001,0.075,0.076,0.899978
Fatman,0001,0.001,0.084,0.085,0.8999769999999998
Fatman,0002,0.001,0.076,0.077,0.899971
Fatman,0003,0.002,0.077,0.079,0.899973
Fatman,0004,0.001,0.079,0.08,0.8999729999999999
Fccn,0000,0.004,0.21,0.214,0.900031
Fccn,0001,0.003,0.144,0.147,0.899969
Fccn,0002,0.003,0.184,0.187,0.900011
Fccn,0003,0.003,0.147,0.15,0.899987
Fccn,0004,0.004,0.189,0.193,0.900012
Forthnet,0000,0.022,1.896,1.918,0.8999888888888888
Forthnet,0001,0.036,1.87,1.906,0.8999883888888889
Forthnet,0002,0.024,1.958,1.982,0.8999891111111111
Forthnet,0003,0.023,1.934,1.957,0.8999876111111111
Forthnet,0004,0.023,1.939,1.962,0.8999896111111111
Funet,0000,0.004,0.327,0.331,0.900025
Funet,0001,0.003,0.379,0.382,0.900004
Funet,0002,0.003,0.355,0.358,0.899979
Funet,0003,0.003,0.285,0.288,0.899973
Funet,0004,0.004,0.306,0.31,0.90004
Gambia,0000,0.004,0.197,0.201,0.89968
Gambia,0001,0.004,0.199,0.203,0.89965
Gambia,0002,0.004,0.189,0.193,0.89968
Gambia,0003,0.008,0.247,0.255,0.899655
Gambia,0004,0.004,0.186,0.19,0.89966
Garr199901,0000,0.001,0.261,0.262,0.900047
Garr199901,0001,0.002,0.532,0.534,0.90005
Garr199901,0002,0.002,0.224,0.226,0.9
Garr199901,0003,0.002,0.214,0.216,0.900079
Garr199901,0004,0.001,0.16,0.161,0.900062
Garr199904,0000,0.003,0.195,0.198,0.8999483870967743
Garr199904,0001,0.005,0.334,0.339,0.8999483870967742
Garr199904,0002,0.004,0.211,0.215,0.899941935483871
Garr199904,0003,0.004,0.146,0.15,0.8999806451612903
Garr199904,0004,0.003,0.19,0.193,0.8999612903225807
Garr199905,0000,0.002,0.426,0.428,0.8999806451612904
Garr199905,0001,0.003,0.252,0.255,0.8999548387096774
Garr199905,0002,0.003,0.187,0.19,0.8999677419354839
Garr199905,0003,0.003,0.385,0.388,0.8999741935483871
Garr199905,0004,0.003,0.188,0.191,0.8999225806451613
Garr200109,0000,0.003,0.191,0.194,0.8999677419354839
Garr200109,0001,0.002,0.179,0.181,0.8999354838709678
Garr200109,0002,0.003,0.225,0.228,0.9
Garr200109,0003,0.003,0.142,0.145,0.8999032258064517
Garr200109,0004,0.002,0.221,0.223,0.8998967741935483
Garr200112,0000,0.003,0.196,0.199,0.899883870967742
Garr200112,0001,0.004,0.208,0.212,0.8999354838709678
Garr200112,0002,0.004,0.248,0.252,0.8999741935483871
Garr200112,0003,0.003,0.237,0.24,0.899916129032258
Garr200112,0004,0.004,0.192,0.196,0.8999290322580645
Garr200212,0000,0.003,0.196,0.199,0.8998193548387097
Garr200212,0001,0.005,0.209,0.214,1.1510387096774193
Garr200212,0002,0.003,0.232,0.235,1.1249032258064515
Garr200212,0003,0.005,0.223,0.228,0.8998322580645162
Garr200212,0004,0.004,0.188,0.192,0.8998064516129032
Garr200404,0000,0.003,0.3,0.303,0.8999483870967742
Garr200404,0001,0.003,0.176,0.179,0.8999354838709678
Garr200404,0002,0.002,0.258,0.26,0.8999548387096774
Garr200404,0003,0.003,0.206,0.209,0.8999612903225807
Garr200404,0004,0.002,0.158,0.16,0.8999870967741935
Garr200902,0000,0.018,2.282,2.3,0.9651428
Garr200902,0001,0.02,3.134,3.154,0.92873
Garr200902,0002,0.019,2.455,2.474,0.900048
Garr200902,0003,0.02,1.938,1.958,0.899902
Garr200902,0004,0.032,1.976,2.008,1.1045323351088925
Garr200908,0000,0.018,2.337,2.355,0.900012
Garr200908,0001,0.019,1.889,1.908,0.9000564
Garr200908,0002,0.04,2.36,2.4,0.946594
Garr200908,0003,0.019,2.361,2.38,0.9000848
Garr200908,0004,0.019,1.764,1.783,0.984247
Garr200909,0000,0.019,2.596,2.615,0.958866
Garr200909,0001,0.019,1.883,1.902,0.8999169230769231
Garr200909,0002,0.022,2.757,2.779,0.9533192
Garr200909,0003,0.021,2.022,2.043,0.9000312
Garr200909,0004,0.02,1.918,1.938,0.900104
Garr200912,0000,0.019,2.324,2.343,0.9469236
Garr200912,0001,0.019,2.28,2.299,0.9648643999999998
Garr200912,0002,0.026,1.812,1.838,0.8999138461538462
