Topology,ExitCode,TotalTime,nbPaths,Nodes,Edges,maxPaths,percentagePaths
Geant2001,0,4.583,244378,27,76,10127052,2.4131208173908854%
Geant2009,0,125.603,1488200,34,104,34540770,4.308531627986289%
Geant2010,0,4.592,351896,37,116,53940672,0.6523760030279192%
Geant2012,0,5.348,419908,40,122,81215160,0.5170315492821783%
Getnet,0,0.022,216,7,16,3612,5.980066445182724%
Globalcenter,0,0.258,18720,9,72,18720,100.0%
Globenet,1,3605.583,-,67,226,1177605132,-
Goodnet,0,5.937,189091,17,62,804032,23.5178450608931%
Grena,0,0.031,240,16,30,571440,0.041999160016799666%
Gridnet,0,0.163,12480,9,40,18720,66.66666666666666%
Grnet,0,0.116,8154,37,94,53940672,0.015116608113447307%
GtsCe,2,-,-,-,-
GtsCzechRepublic,0,0.155,9066,32,66,25058912,0.03617874550978111%
GtsHungary,0,0.095,4800,30,62,17783670,0.026991054152489334%
GtsPoland,0,1.135,128901,33,74,29496192,0.43700895356254804%
GtsRomania,0,0.075,6812,21,48,2593920,0.26261411300271403%
GtsSlovakia,0,0.27,32826,35,74,40252940,0.0815493228569143%
Harnet,0,0.178,16881,21,50,2593920,0.650791080680977%
Heanet,0,0.046,1861,7,26,3612,51.52270210409745%
HiberniaCanada,0,0.032,840,13,28,173472,0.48422800221361373%
HiberniaGlobal,1,3602.922,-,55,162,425797020,-
HiberniaIreland,0,0.024,104,8,16,8792,1.1828935395814377%
HiberniaNireland,0,0.285,26050,18,44,1106802,2.353627839487099%
HiberniaUk,0,0.032,416,15,30,396060,0.10503459071857799%
HiberniaUs,0,2.274,140660,22,58,3345342,4.204652319553577%
Highwinds,0,15.83,268305,18,106,1106802,24.241463242748026%
HostwayInternational,0,0.157,15760,16,42,571440,2.757944841103178%
HurricaneElectric,0,6.9,285496,24,74,5368200,5.318281733169405%
Ibm,0,1.475,91541,18,48,1106802,8.270765683473648%
Iij,0,960.245,3014151,37,132,53940672,5.587900350963369%
