Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Cesnet2001,0001,0,0.027,0.034,0.061,1.0581070126807588
Cesnet2001,0002,0,0.036,0.042,0.078,1.0581092801387684
Cesnet2001,0003,0,0.028,0.035,0.063,1.0581002103067303
Cesnet2001,0004,0,0.028,0.033,0.061,1.0581070126807588
Cesnet200304,0000,0,0.062,0.165,0.227,0.900074
Cesnet200304,0001,0,0.053,0.106,0.159,0.8999583333333333
Cesnet200304,0002,0,0.062,0.165,0.227,0.9000408
Cesnet200304,0003,0,0.059,0.156,0.215,0.900026
Cesnet200304,0004,0,0.053,0.187,0.24,0.8999533333333333
Cesnet200511,0000,0,0.187,1.23,1.417,0.9001045
Cesnet200511,0001,0,0.16,1.441,1.601,0.9000385371793318
Cesnet200511,0002,0,0.163,1.167,1.33,0.9000613
Cesnet200511,0003,0,0.16,1.354,1.514,0.9003142
Cesnet200511,0004,0,0.156,1.998,2.154,0.9001615666720342
Cesnet200603,0000,0,0.162,1.242,1.404,0.9004266
Cesnet200603,0001,0,0.167,1.107,1.274,0.899922
Cesnet200603,0002,0,0.156,1.043,1.199,0.9002297153616192
Cesnet200603,0003,0,0.16,1.177,1.337,0.9001514
Cesnet200603,0004,0,0.195,1.989,2.184,0.9000686
Cesnet200706,0000,0,0.203,1.446,1.649,0.9000753266261958
Cesnet200706,0001,0,0.184,1.604,1.788,0.9000948452511076
Cesnet200706,0002,0,0.193,1.215,1.408,0.9000020500008288
Cesnet200706,0003,0,0.181,2.204,2.385,0.9000524276807687
Cesnet200706,0004,0,0.173,2.055,2.228,0.900100188338374
Cesnet201006,0000,0,0.352,10.427,10.779,0.8999914526305293
Cesnet201006,0001,0,0.301,10.419,10.72,0.8999571741175477
Cesnet201006,0002,0,0.33,14.674,15.004,0.9000668780783886
Cesnet201006,0003,0,0.298,15.414,15.712,0.8999731368388063
Cesnet201006,0004,0,0.303,14.94,15.243,0.9000283385999713
Chinanet,0000,0,0.615,114.154,114.769,0.899991375
Chinanet,0001,0,0.562,205.427,205.989,1.0084753333333332
Chinanet,0002,0,0.54,219.624,220.164,0.9000025
Chinanet,0003,0,0.532,137.436,137.968,0.9000480833333333
Chinanet,0004,0,0.526,778.167,778.693,0.9526525
Claranet,0000,0,0.132,0.352,0.484,0.900073
Claranet,0001,0,0.057,0.272,0.329,0.9000145
Claranet,0002,0,0.08,0.52,0.6,0.900069
Claranet,0003,0,0.06,0.391,0.451,0.9000555
Claranet,0004,0,0.121,0.168,0.289,0.89999
Cogentco,0000,2,-,-,-,-
Cogentco,0001,2,-,-,-,-
Cogentco,0002,2,-,-,-,-
Cogentco,0003,2,-,-,-,-
Cogentco,0004,2,-,-,-,-
Colt,0000,1,5.233,1845.929,1851.162,0.8988279999999998
Colt,0001,1,5.079,1864.878,1869.957,2.218322500000001
Colt,0002,1,5.113,1867.502,1872.615,2.3367110000000366
Colt,0003,0,5.097,1745.651,1750.748,0.8987125
Colt,0004,1,5.029,1856.324,1861.353,0.8989055833333333
Columbus,0000,0,1.287,258.57,259.857,0.8997353333333333
Columbus,0001,0,1.021,166.943,167.964,0.899731
Columbus,0002,0,1.145,196.075,197.22,0.8998035833333332
Columbus,0003,0,1.038,246.186,247.224,0.8997705
Columbus,0004,0,1.227,168.084,169.311,0.899726
Compuserve,0000,0,0.156,0.446,0.602,0.8999555555555556
Compuserve,0001,0,0.067,1.9,1.967,0.8998888888888888
Compuserve,0002,0,0.167,9.612,9.779,0.9000666666666667
Compuserve,0003,0,0.062,1.082,1.144,0.8999555555555555
Compuserve,0004,0,0.062,0.983,1.045,0.8999166666666667
CrlNetworkServices,0000,0,0.251,2.461,2.712,0.8991333333333333
CrlNetworkServices,0001,0,0.214,2.988,3.202,0.8986888888888889
CrlNetworkServices,0002,0,0.202,2.347,2.549,0.8986444444444445
CrlNetworkServices,0003,0,0.176,3.848,4.024,0.8985888888888889
CrlNetworkServices,0004,0,0.183,3.826,4.009,0.8987333333333333
Cudi,0000,0,0.079,0.111,0.19,0.8998870833333332
Cudi,0001,0,0.076,0.145,0.221,0.8999529166666667
Cudi,0002,0,0.08,0.111,0.191,0.8998883333333332
Cudi,0003,0,0.078,0.096,0.174,0.8998845833333333
Cudi,0004,0,0.077,0.11,0.187,0.8998883333333334
Cwix,0000,0,0.245,5.446,5.691,0.8988259259259257
Cwix,0001,0,0.194,4.403,4.597,0.8989555555555555
Cwix,0002,0,0.208,3.486,3.694,0.8989111111111111
Cwix,0003,0,0.194,5.208,5.402,0.898811111111111
Cwix,0004,0,0.185,5.416,5.601,0.8989518518518516
Cynet,0000,0,0.033,0.042,0.075,0.8994971804511278
Cynet,0001,0,0.044,0.041,0.085,0.8994501879699248
Cynet,0002,0,0.034,0.04,0.074,0.8994736842105263
Cynet,0003,0,0.034,0.051,0.085,0.8995112781954887
Cynet,0004,0,0.035,0.04,0.075,0.8994736842105263
Darkstrand,0000,0,0.122,1.203,1.325,0.9000205
Darkstrand,0001,0,0.129,1.729,1.858,0.8999775
Darkstrand,0002,0,0.126,0.958,1.084,0.899954
Darkstrand,0003,0,0.124,0.991,1.115,0.89995825
Darkstrand,0004,0,0.119,1.097,1.216,0.90002925
Dataxchange,0000,0,0.019,0.043,0.062,1.0392666666666666
Dataxchange,0001,0,0.02,0.046,0.066,1.0802222222222222
Dataxchange,0002,0,0.02,0.041,0.061,1.2024
Dataxchange,0003,0,0.019,0.037,0.056,0.8999333333333334
Dataxchange,0004,0,0.02,0.045,0.065,1.432511111111111
Deltacom,0000,2,-,-,-,-
Deltacom,0001,2,-,-,-,-
Deltacom,0002,2,-,-,-,-
Deltacom,0003,2,-,-,-,-
Deltacom,0004,2,-,-,-,-
DeutscheTelekom,0000,0,0.439,18.208,18.647,0.9000655
DeutscheTelekom,0001,0,0.387,9.827,10.214,0.899957
DeutscheTelekom,0002,0,0.498,9.269,9.767,0.899957
DeutscheTelekom,0003,0,0.358,9.407,9.765,0.899961
DeutscheTelekom,0004,0,0.405,14.383,14.788,0.89996
Dfn,0000,0,1.193,102.216,103.409,0.89998275
Dfn,0001,0,1.243,569.511,570.754,0.9000555
Dfn,0002,0,1.351,236.457,237.808,0.90004075
Dfn,0003,0,1.283,347.265,348.548,0.90004525
Dfn,0004,0,1.206,289.576,290.782,0.9000425
DialtelecomCz,0000,0,3.928,1650.93,1654.858,0.89927275
DialtelecomCz,0001,1,3.773,1872.795,1876.568,0.8997065
