Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Belnet2010,0004,0,0.045,0.204,0.249,0.900028
BeyondTheNetwork,0000,0,0.215,2.787,3.002,0.89999625
BeyondTheNetwork,0001,0,0.215,2.795,3.01,0.8999751666666667
BeyondTheNetwork,0002,0,0.215,2.884,3.0989999999999998,0.899963
BeyondTheNetwork,0003,0,0.215,2.82,3.0349999999999997,0.89992
BeyondTheNetwork,0004,0,0.215,2.744,2.959,0.9000005833333333
Bics,0000,0,0.116,1.146,1.262,0.8999651666666665
Bics,0001,0,0.116,0.801,0.917,0.899956
Bics,0002,0,0.116,1.409,1.5250000000000001,0.9000367916666665
Bics,0003,0,0.116,0.871,0.987,0.8999835
Bics,0004,0,0.116,0.943,1.059,0.8999524999999999
Biznet,0000,0,0.06,0.311,0.371,0.899952
Biznet,0001,0,0.06,0.365,0.425,0.8999715
Biznet,0002,0,0.06,0.318,0.378,0.900029
Biznet,0003,0,0.06,0.535,0.595,0.899952
Biznet,0004,0,0.06,0.445,0.505,0.899954
Bren,0000,0,0.073,0.194,0.267,0.8999297752808989
Bren,0001,0,0.073,0.17,0.243,0.8999564606741574
Bren,0002,0,0.073,0.177,0.25,0.899941011235955
Bren,0003,0,0.073,0.209,0.282,0.8999199438202248
Bren,0004,0,0.073,0.232,0.305,0.899986
BsonetEurope,0000,0,0.042,0.364,0.40599999999999997,0.9000264166666665
BsonetEurope,0001,0,0.042,3.123,3.165,0.9000475833333332
BsonetEurope,0002,0,0.042,0.399,0.441,0.9000406666666667
BsonetEurope,0003,0,0.042,0.356,0.39799999999999996,0.9000649999999999
BsonetEurope,0004,0,0.042,0.379,0.421,0.9000074166666667
BtAsiaPac,0000,0,0.046,4.268,4.314,0.9000809999999999
BtAsiaPac,0001,0,0.046,6.173,6.219,0.900068
BtAsiaPac,0002,0,0.046,4.951,4.997,0.9000594166666667
BtAsiaPac,0003,0,0.046,1.633,1.679,0.90007575
BtAsiaPac,0004,0,0.046,1.251,1.297,0.9000705
BtEurope,0000,0,0.057,0.898,0.9550000000000001,0.900016
BtEurope,0001,0,0.057,0.69,0.747,0.9000005
BtEurope,0002,0,0.057,1.197,1.254,0.90006
BtEurope,0003,0,0.057,0.62,0.677,0.900031
BtEurope,0004,0,0.057,0.783,0.8400000000000001,1.1317949999999999
BtLatinAmerica,0000,0,0.112,0.405,0.517,0.899748
BtLatinAmerica,0001,0,0.112,0.378,0.49,0.899738
BtLatinAmerica,0002,0,0.112,0.425,0.537,0.899758
BtLatinAmerica,0003,0,0.112,0.403,0.515,0.899746
BtLatinAmerica,0004,0,0.112,0.381,0.493,0.89975
