Topology,DemandFile,ExitCode,TotalTime,pre-uMax,post-uMax
Belnet2006,0001,0,1.8049822,4.255964,4.255964
Belnet2006,0002,0,2.524728904,1.2887648,1.1469392
Belnet2006,0003,0,2.429880793,1.5105060799999999,1.228278
Belnet2006,0004,0,2.499343586,1.1661184,0.9000805
Belnet2007,0000,0,1.260755414,1.1494772333333334,0.8999972333333334
Belnet2007,0001,0,1.273994644,0.9385210000000002,0.9000243333333332
Belnet2007,0002,0,1.333852134,1.00183,0.8999889999999999
Belnet2007,0003,0,1.367313734,1.0348047,0.900015
Belnet2007,0004,0,1.294439919,1.035574,0.89999
Belnet2008,0000,0,1.365632,1.2397826666666665,0.8999839999999999
Belnet2008,0001,0,1.402820884,1.0560538333333334,0.8999936666666666
Belnet2008,0002,0,1.582450357,1.074541,0.900038
Belnet2008,0003,0,1.246043388,1.289673,0.9000042333333333
Belnet2008,0004,0,1.514811771,1.089667,0.900001
Belnet2009,0000,0,1.301462295,1.084957,0.899988
Belnet2009,0001,0,1.384669299,0.947063,0.90006
Belnet2009,0002,0,1.143763858,1.215681,0.900044
Belnet2009,0003,0,1.146233121,1.283664,0.900011
Belnet2009,0004,0,1.408159805,1.0201,0.899978
Belnet2010,0000,0,1.619763759,1.1540899,0.8999979
Belnet2010,0001,0,1.632264793,1.0286833333333332,0.8999903333333332
Belnet2010,0002,0,1.568984012,1.145085,0.9019775
Belnet2010,0003,0,1.452544184,1.2413115,0.9000575
Belnet2010,0004,0,1.42222553,1.0544642666666666,0.9000595
BeyondTheNetwork,0000,0,72.071645759,1.7501338333333332,0.899985375
BeyondTheNetwork,0001,0,68.943830146,1.54657225,0.8999675
BeyondTheNetwork,0002,0,74.967063241,1.7911035,0.899968
BeyondTheNetwork,0003,0,75.84493959,1.621687,0.89996475
BeyondTheNetwork,0004,0,74.467793301,1.7834481666666668,0.8999795
Bics,0000,0,7.575896962,1.2632605,0.9000181666666667
Bics,0001,0,7.267098911,1.3158485833333335,0.9000405
Bics,0002,0,10.506663552,1.38308675,0.90000825
Bics,0003,0,7.53412651,1.6981397083333332,0.8999628333333334
Bics,0004,0,7.615713977,1.196041,0.8999801666666667
Biznet,0000,0,4.029928406,1.4155365,0.900026
Biznet,0001,0,3.194648642,1.4623185,0.9000315
Biznet,0002,0,3.477364117,1.365356,0.900027
Biznet,0003,0,3.826778943,1.3349685,0.899981
Biznet,0004,0,3.001963648,1.182884,0.899957
Bren,0000,0,6.991941452,1.2409185393258426,0.8999213483146068
Bren,0001,0,6.907575179,1.475925561797753,0.8999241573033708
Bren,0002,0,8.589887684,1.5919620786516855,0.8999733146067416
Bren,0003,0,7.940097197,1.1627415730337078,0.8999311797752809
Bren,0004,0,7.441559985,1.112913,0.899977
BsonetEurope,0000,0,1.120111502,1.52069775,0.9010907499999998
BsonetEurope,0001,0,1.521213816,1.58065575,0.9000079166666668
BsonetEurope,0002,0,1.012383013,1.3254543333333333,0.9000476666666666
BsonetEurope,0003,0,0.967073329,1.360544875,0.9000710833333334
BsonetEurope,0004,0,1.886365841,1.5989069583333333,0.9000231666666667
BtAsiaPac,0000,0,3.88793227,1.3668860833333332,0.9000783333333334
BtAsiaPac,0001,0,5.110905204,1.3893244166666665,0.9000654999999999
BtAsiaPac,0002,0,1.80454471,1.6925016666666668,0.9001860833333334
BtAsiaPac,0003,0,1.682650866,1.2372016666666665,0.9002435833333332
BtAsiaPac,0004,0,3.761667327,1.3976490833333335,0.900044
BtEurope,0000,0,2.840253676,1.77478725,0.9000315
BtEurope,0001,0,2.851271571,1.8110581666666667,0.9075781666666666
BtEurope,0002,0,2.210204448,1.79057175,1.102091
BtEurope,0003,0,2.486318027,1.91325225,0.900026
BtEurope,0004,0,2.593906119,2.261043083333333,1.3428081666666667
BtLatinAmerica,0000,0,19.055964513,0.899748,0.899748
BtLatinAmerica,0001,0,19.275783844,0.899738,0.899738
BtLatinAmerica,0002,0,19.114639132,0.899758,0.899758
BtLatinAmerica,0003,0,19.014586796,0.899746,0.899746
BtLatinAmerica,0004,0,19.357567975,0.89975,0.89975
BtNorthAmerica,0000,0,65.943632373,1.9001776458333333,0.9002467916666667
BtNorthAmerica,0001,0,31.001391713,1.6197473888888891,0.9004422500000001
BtNorthAmerica,0002,0,66.261426399,1.8313633194444447,0.9025275694444446
BtNorthAmerica,0003,1,-,-,-
BtNorthAmerica,0004,0,891.570263982,1.7186296458333334,0.903561
Canerie,0000,0,6.081672141,1.586299,0.900022
Canerie,0001,0,4.860568877,1.785087,0.899965
Canerie,0002,0,5.826186067,1.4696205,0.900017
Canerie,0003,0,6.775503113,1.477942,0.899979
Canerie,0004,0,6.549527967,1.441775,0.899997
Carnet,0000,0,14.071200052,0.899842,0.899842
Carnet,0001,0,14.218576953,0.899832,0.899832
Carnet,0002,0,14.569935521,0.899832,0.899832
Carnet,0003,0,14.384743179,0.899839,0.899839
Carnet,0004,0,14.392944035,0.899834,0.899834
Cernet,0000,0,19.365582088,1.0943850666666666,0.9566004501418925
Cernet,0001,0,17.585931383,1.1901406809910577,1.041914221408301
Cernet,0002,0,15.178708469,1.148285872720749,1.0376838709677418
Cernet,0003,0,18.261143132,1.1745741935483873,0.9492432
Cernet,0004,0,16.160369441,1.1915709677419357,0.9284322580645161
Cesnet1993,0000,0,0.1986437,0.8981666666666667,0.8981666666666667
Cesnet1993,0001,0,0.193887149,0.8975,0.8975
Cesnet1993,0002,0,0.229523023,0.8975,0.8975
Cesnet1993,0003,0,0.194545536,0.8975,0.8975
Cesnet1993,0004,0,0.196036916,0.8985,0.8985
Cesnet1997,0000,0,0.331524453,0.8994705882352941,0.8994705882352941
Cesnet1997,0001,0,0.336135858,0.8995,0.8995
Cesnet1997,0002,0,0.343972903,0.8994705882352941,0.8994705882352941
Cesnet1997,0003,0,0.339814907,0.8993529411764706,0.8993529411764706
Cesnet1997,0004,0,0.354148611,0.8993823529411765,0.8993823529411765
Cesnet1999,0000,0,0.328355118,0.8998774193548387,0.8998774193548387
Cesnet1999,0001,0,0.328893329,0.8998529411764706,0.8998529411764706
Cesnet1999,0002,0,0.323682039,0.89925,0.89925
Cesnet1999,0003,0,0.328689898,0.8992258064516129,0.8992258064516129
Cesnet1999,0004,0,0.374569586,0.8998529411764706,0.8998529411764706
Cesnet2001,0000,0,1.268960709,1.058107012680759,1.058107012680759
Cesnet2001,0001,0,1.179205631,1.058107012680759,1.058107012680759
Cesnet2001,0002,0,1.167128154,1.0581092801387684,1.0581092801387684
Cesnet2001,0003,0,1.263680879,1.0581002103067303,1.0581002103067303
Cesnet2001,0004,0,1.377651279,1.058107012680759,1.058107012680759
Cesnet200304,0000,0,3.983779425,1.2551908,0.900055
Cesnet200304,0001,0,3.61172596,1.2472796,0.8999583333333333
Cesnet200304,0002,0,3.297391803,1.2539148,0.9000456
Cesnet200304,0003,0,3.442287967,1.1600684,0.9000548
Cesnet200304,0004,0,3.422919564,1.1423928,0.8999533333333334
Cesnet200511,0000,0,10.493307634,1.2846136542231985,0.9000602482662793
Cesnet200511,0001,0,11.748224837,1.7667957873254292,0.928796
Cesnet200511,0002,0,12.169055453,1.945118593797022,0.9000276
Cesnet200511,0003,0,12.94039634,1.792963074868874,0.9000564
Cesnet200511,0004,0,12.530373406,1.2709561743617392,0.900032
Cesnet200603,0000,0,12.944367046,1.9178591179629694,0.9001072
Cesnet200603,0001,0,9.643492204,1.1795198,0.9158282
