Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Belnet2005,0003,0.005,0.298,0.303,1.069413
Belnet2005,0004,0.005,0.344,0.349,1.4533799999999992
Belnet2006,0000,0.004,0.415,0.419,1.071693999999999
Belnet2006,0001,0.004,0.337,0.341,4.256194
Belnet2006,0002,0.006,0.298,0.304,1.1469392
Belnet2006,0003,0.005,0.289,0.294,1.4077515999999999
Belnet2006,0004,0.004,0.408,0.412,0.9000444
Belnet2007,0000,0.016,0.322,0.338,0.899992
Belnet2007,0001,0.016,0.335,0.351,0.900066
Belnet2007,0002,0.016,0.3,0.316,0.90006
Belnet2007,0003,0.016,0.311,0.327,0.900014
Belnet2007,0004,0.016,0.297,0.313,0.900025
Belnet2008,0000,0.016,0.325,0.341,0.9000509999999999
Belnet2008,0001,0.016,0.332,0.348,0.919754
Belnet2008,0002,0.016,0.301,0.317,0.899996
Belnet2008,0003,0.017,0.327,0.344,0.900023
Belnet2008,0004,0.016,0.291,0.307,0.899989
Belnet2009,0000,0.016,0.3,0.316,0.90005
Belnet2009,0001,0.016,0.292,0.308,0.90005
Belnet2009,0002,0.016,0.318,0.334,0.900057
Belnet2009,0003,0.016,0.297,0.313,0.899978
Belnet2009,0004,0.016,0.298,0.314,0.9000489999999999
Belnet2010,0000,0.016,0.325,0.341,0.8999859999999722
Belnet2010,0001,0.017,0.353,0.37,0.900045
Belnet2010,0002,0.017,0.33,0.347,0.911631
Belnet2010,0003,0.016,0.326,0.342,0.900027
Belnet2010,0004,0.017,0.303,0.32,0.899984
BeyondTheNetwork,0000,0.031,2.819,2.85,1.030119
BeyondTheNetwork,0001,0.027,2.916,2.943,0.899997
BeyondTheNetwork,0002,0.029,2.558,2.587,0.899982
BeyondTheNetwork,0003,0.028,3.043,3.071,0.89999
BeyondTheNetwork,0004,0.042,2.348,2.39,0.9073169999999999
Bics,0000,0.006,0.825,0.831,0.90001
Bics,0001,0.005,0.834,0.839,0.899995
Bics,0002,0.017,0.827,0.844,0.9000149999999999
Bics,0003,0.027,0.748,0.775,0.899995
