Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Belnet2005,0002,0,0.04,5.089,5.129,0.9000565
Belnet2005,0003,0,0.041,7.779,7.82,0.9213768333333334
Belnet2005,0004,0,0.04,6.973,7.013,1.3781444
Belnet2006,0000,0,0.041,11.041,11.082,1.071694
Belnet2006,0001,0,0.04,4.736,4.776,3.5466366666666667
Belnet2006,0002,0,0.048,8.027,8.075,1.0639348
Belnet2006,0003,0,0.042,5.144,5.186,1.1730283333333333
Belnet2006,0004,0,0.048,4.342,4.39,0.9000122
Belnet2007,0000,0,0.039,3.825,3.864,0.9000250333333332
Belnet2007,0001,0,0.037,3.694,3.731,0.89998
Belnet2007,0002,0,0.037,3.885,3.922,0.900053
Belnet2007,0003,0,0.038,3.682,3.72,0.900043
Belnet2007,0004,0,0.044,3.794,3.838,0.900043
Belnet2008,0000,0,0.039,3.625,3.664,0.9000199999999999
Belnet2008,0001,0,0.037,3.713,3.75,0.899979
Belnet2008,0002,0,0.036,3.654,3.69,0.899991
Belnet2008,0003,0,0.036,3.823,3.859,0.9000162666666666
Belnet2008,0004,0,0.046,3.855,3.901,0.90006
Belnet2009,0000,0,0.048,4.323,4.371,0.900067
Belnet2009,0001,0,0.039,3.843,3.882,0.900065
Belnet2009,0002,0,0.039,4.309,4.348,0.9000229997711441
Belnet2009,0003,0,0.04,4.153,4.193,0.900013
Belnet2009,0004,0,0.037,3.682,3.719,0.9000266666666668
Belnet2010,0000,0,0.04,4.314,4.354,0.9000500000000001
Belnet2010,0001,0,0.042,4.2,4.242,0.9000513333333331
Belnet2010,0002,0,0.039,4.514,4.553,0.9000265
Belnet2010,0003,0,0.037,4.334,4.371,0.8999785
Belnet2010,0004,0,0.052,4.07,4.122,0.900011
BeyondTheNetwork,0000,0,0.477,983.432,983.909,0.899997875
BeyondTheNetwork,0001,0,0.459,863.066,863.525,0.8999855
BeyondTheNetwork,0002,0,0.49,957.556,958.046,0.899981875
BeyondTheNetwork,0003,1,0.472,1843.699,1844.171,0.900006
BeyondTheNetwork,0004,0,0.537,829.891,830.428,0.900001
Bics,0000,0,0.113,36.178,36.291,0.8999851666666667
Bics,0001,0,0.105,34.455,34.56,0.899956
Bics,0002,0,0.142,40.518,40.66,0.9000433333333332
Bics,0003,0,0.1,35.985,36.085,0.9000068333333333
Bics,0004,0,0.103,32.804,32.907,0.899948
Biznet,0000,0,0.07,13.81,13.88,0.89999
Biznet,0001,0,0.064,13.716,13.78,0.9000265
Biznet,0002,0,0.061,13.976,14.037,0.8999885
Biznet,0003,0,0.062,14.161,14.223,0.899983
Biznet,0004,0,0.079,13.815,13.894,0.9000135
Bren,0000,0,0.124,22.114,22.238,0.8999325842696629
Bren,0001,0,0.124,21.861,21.985,0.8999269662921349
Bren,0002,0,0.133,22.289,22.422,0.9
Bren,0003,0,0.13,21.77,21.9,0.899997191011236
Bren,0004,0,0.124,22.27,22.394,0.900018
BsonetEurope,0000,0,0.025,2.722,2.747,0.9000451666666666
BsonetEurope,0001,0,0.025,2.593,2.618,0.9000523333333332
BsonetEurope,0002,0,0.027,2.173,2.2,0.9000528333333334
BsonetEurope,0003,0,0.029,2.434,2.463,0.9000197499999999
BsonetEurope,0004,0,0.027,3.947,3.974,0.9000435833333333
BtAsiaPac,0000,0,0.033,7.578,7.611,0.9000723333333333
BtAsiaPac,0001,0,0.033,28.238,28.271,0.900059
BtAsiaPac,0002,0,0.034,13.908,13.942,0.900078
BtAsiaPac,0003,0,0.033,8.507,8.54,0.9000799999999993
BtAsiaPac,0004,0,0.034,7.185,7.219,0.900056
BtEurope,0000,0,0.038,9.311,9.349,0.9000015
BtEurope,0001,0,0.042,10.274,10.316,0.900038
BtEurope,0002,0,0.039,18.949,18.988,0.9000675
