Topology,DemandFile,Exit code,Total  time,pre-uMax,post-uMax
Belnet2008,0004,0,0.473524602,1.089667,0.899998
Belnet2009,0000,0,0.299896406,1.084957,0.9
Belnet2009,0001,0,0.498201573,0.947063,0.899988
Belnet2009,0002,0,0.376695431,1.215681,0.899993
Belnet2009,0003,0,0.376637981,1.283664,0.900062
Belnet2009,0004,0,0.242033138,1.0201,0.9000583333333334
Belnet2010,0000,0,0.550885952,1.1540899,0.9000109333333334
Belnet2010,0001,0,0.582867538,1.0286833333333332,0.9000193333333334
Belnet2010,0002,0,0.50434791,1.145085,0.900006
Belnet2010,0003,0,0.60511441,1.2413115,0.899983
Belnet2010,0004,0,0.404298614,1.0544642666666666,0.900056
BeyondTheNetwork,0000,0,10.968496247,1.7501338333333332,0.899962
BeyondTheNetwork,0001,0,8.584283687,1.54657225,0.8999646666666666
BeyondTheNetwork,0002,0,11.135596849,1.7911035,0.8999955
BeyondTheNetwork,0003,0,53.295428721,1.621687,0.89995125
BeyondTheNetwork,0004,0,7.672756164,1.7834481666666668,0.8999796666666667
Bics,0000,0,2.70496056,1.2632605,0.8999818333333333
Bics,0001,0,1.812633121,1.3158485833333335,0.899998
Bics,0002,0,2.369413193,1.38308675,0.9000230833333334
Bics,0003,0,2.742963781,1.6981397083333332,0.9000026666666666
Bics,0004,0,1.774639794,1.196041,0.9000355
Biznet,0000,0,1.417933264,1.4155365,0.89998
Biznet,0001,0,1.309230936,1.4623185,0.900021
Biznet,0002,0,1.140291963,1.365356,0.9000225
Biznet,0003,0,1.697060841,1.3349685,0.900003
Biznet,0004,0,1.307590694,1.182884,0.899972
Bren,0000,0,1.570537579,1.2409185393258426,0.899938202247191
Bren,0001,0,1.953054191,1.475925561797753,0.8999073033707865
Bren,0002,0,1.58941703,1.5919620786516855,0.8999719101123596
Bren,0003,0,1.320741897,1.1627415730337078,0.8999775280898876
Bren,0004,0,2.061285694,1.112913,0.899966
BsonetEurope,0000,0,0.538233422,1.52069775,0.9000718333333333
BsonetEurope,0001,0,2.115938971,1.58065575,0.9000701666666667
BsonetEurope,0002,0,0.287222443,1.3254543333333333,0.9000453333333334
BsonetEurope,0003,0,0.452969086,1.360544875,0.9000133333333333
BsonetEurope,0004,0,0.837256853,1.5989069583333333,0.90002075
BtAsiaPac,0000,0,11.528839186,1.3668860833333332,0.9004351666666667
BtAsiaPac,0001,0,2.927194791,1.3893244166666665,0.9000824999999999
BtAsiaPac,0002,0,12.057357013,1.6925016666666668,0.900065
BtAsiaPac,0003,0,3.996544357,1.2372016666666665,0.900072
BtAsiaPac,0004,0,1.628724964,1.3976490833333335,0.900075
BtEurope,0000,0,1.807138463,1.77478725,0.8999935
BtEurope,0001,0,1.580321599,1.8110581666666667,0.900071
BtEurope,0002,0,3.09435636,1.79057175,0.9000085
BtEurope,0003,0,0.752930873,1.91325225,0.9000345
