Topology,DemandFile,Exit code,Preprocessing time,ILP solve time,Total  time,uMax
BtAsiaPac,0003,0,0.176,0.854,1.03,0.9000349999999999
BtAsiaPac,0004,0,0.176,1.59,1.766,0.900067
BtEurope,0000,0,0.42,2.135,2.5549999999999997,0.900051
BtEurope,0001,0,0.42,1.865,2.285,0.900037
BtEurope,0002,0,0.42,2.038,2.4579999999999997,0.900074
BtEurope,0003,0,0.42,1.424,1.8439999999999999,0.900036
BtEurope,0004,0,0.42,2.054,2.4739999999999998,1.1317949999999999
BtLatinAmerica,0000,0,0.206,0.658,0.864,0.899748
BtLatinAmerica,0001,0,0.206,0.593,0.7989999999999999,0.899738
BtLatinAmerica,0002,0,0.206,0.637,0.843,0.899758
BtLatinAmerica,0003,0,0.206,0.584,0.7899999999999999,0.899746
BtLatinAmerica,0004,0,0.206,0.575,0.7809999999999999,0.89975
BtNorthAmerica,0000,0,23.252,273.264,296.516,0.900073
BtNorthAmerica,0001,0,23.252,66.564,89.81599999999999,0.900047
BtNorthAmerica,0002,0,23.252,80.67,103.922,0.900069
BtNorthAmerica,0003,0,23.252,717.172,740.424,0.900068
BtNorthAmerica,0004,0,23.252,51.041,74.29299999999999,0.9000269999999999
Canerie,0000,0,0.287,1.169,1.456,0.899955
Canerie,0001,0,0.287,1.101,1.388,0.899983
Canerie,0002,0,0.287,1.27,1.557,0.899955
Canerie,0003,0,0.287,1.031,1.3179999999999998,0.9000209999999996
Canerie,0004,0,0.287,1.404,1.6909999999999998,0.900005
Carnet,0000,0,0.072,0.085,0.157,0.899842
Carnet,0001,0,0.072,0.084,0.156,0.899832
Carnet,0002,0,0.072,0.082,0.154,0.899832
Carnet,0003,0,0.072,0.082,0.154,0.899839
Carnet,0004,0,0.072,0.081,0.153,0.899834
Cernet,0000,0,0.146,0.423,0.569,1.3497806451612904
Cernet,0001,0,0.146,0.516,0.662,1.1322193548387096
Cernet,0002,0,0.146,0.533,0.679,1.0376609397061496
Cernet,0003,0,0.146,0.408,0.5539999999999999,1.3497161290322581
Cernet,0004,0,0.146,0.441,0.587,1.3497096774193549
Cesnet1993,0000,0,0.021,0.06,0.081,0.8981666666666667
Cesnet1993,0001,0,0.021,0.048,0.069,0.8975
Cesnet1993,0002,0,0.021,0.045,0.066,0.8975
Cesnet1993,0003,0,0.021,0.031,0.052000000000000005,0.8975
Cesnet1993,0004,0,0.021,0.03,0.051000000000000004,0.8985
Cesnet1997,0000,0,0.028,0.042,0.07,0.8994705882352941
Cesnet1997,0001,0,0.028,0.033,0.061,0.8995
Cesnet1997,0002,0,0.028,0.047,0.075,0.8994705882352941
Cesnet1997,0003,0,0.028,0.054,0.082,0.8993529411764706
Cesnet1997,0004,0,0.028,0.054,0.082,0.8993823529411765
Cesnet1999,0000,0,0.024,0.061,0.08499999999999999,0.8998774193548387
Cesnet1999,0001,0,0.024,0.033,0.057,0.8998529411764706
Cesnet1999,0002,0,0.024,0.037,0.061,0.89925
Cesnet1999,0003,0,0.024,0.046,0.07,0.8992258064516129
Cesnet1999,0004,0,0.024,0.033,0.057,0.8998529411764706
Cesnet2001,0000,0,0.036,0.065,0.101,1.0581070126807588
Cesnet2001,0001,0,0.036,0.051,0.087,1.0581070126807588
Cesnet2001,0002,0,0.036,0.062,0.098,1.0581092801387684
Cesnet2001,0003,0,0.036,0.089,0.125,1.0581002103067303
Cesnet2001,0004,0,0.036,0.071,0.10699999999999998,1.0581070126807588
Cesnet200304,0000,0,0.055,0.284,0.33899999999999997,0.900074
Cesnet200304,0001,0,0.055,0.14,0.195,0.8999583333333333
Cesnet200304,0002,0,0.055,0.26,0.315,0.9000408
Cesnet200304,0003,0,0.055,0.174,0.22899999999999998,0.900026
Cesnet200304,0004,0,0.055,0.293,0.348,0.8999533333333333
Cesnet200511,0000,0,0.194,0.718,0.9119999999999999,0.9000408
Cesnet200511,0001,0,0.194,0.703,0.897,0.900104
Cesnet200511,0002,0,0.194,0.719,0.913,0.9000688
Cesnet200511,0003,0,0.194,0.94,1.134,0.9000468
Cesnet200511,0004,0,0.194,0.84,1.034,0.900063263695022
Cesnet200603,0000,0,0.184,0.758,0.942,0.9001051999999999
Cesnet200603,0001,0,0.184,0.677,0.861,0.899922
Cesnet200603,0002,0,0.184,0.672,0.8560000000000001,0.9001020000000001
Cesnet200603,0003,0,0.184,0.721,0.905,0.9000764
Cesnet200603,0004,0,0.184,0.866,1.05,0.9000428
Cesnet200706,0000,0,0.231,0.9,1.131,0.9000364
Cesnet200706,0001,0,0.231,0.883,1.114,0.9000306191613141
Cesnet200706,0002,0,0.231,0.765,0.996,0.9001344
Cesnet200706,0003,0,0.231,0.9,1.131,0.9000947362085103
Cesnet200706,0004,0,0.231,0.887,1.118,0.9000051999999998
Cesnet201006,0000,0,0.666,2.699,3.3649999999999998,0.9000186719321176
Cesnet201006,0001,0,0.666,3.054,3.7199999999999998,0.9000400403557944
Cesnet201006,0002,0,0.666,3.056,3.722,0.8999723736808178
Cesnet201006,0003,0,0.666,2.707,3.3729999999999998,0.8999723736808178
Cesnet201006,0004,0,0.666,2.884,3.55,0.9000115491242253
Chinanet,0000,0,2.931,9.449,12.379999999999999,0.900044
Chinanet,0001,0,2.931,11.612,14.543,1.192499
Chinanet,0002,0,2.931,11.698,14.629000000000001,0.900035
Chinanet,0003,0,2.931,12.857,15.788,0.900062
Chinanet,0004,0,2.931,11.585,14.516000000000002,1.260922
Claranet,0000,0,0.039,0.294,0.33299999999999996,0.900078
Claranet,0001,0,0.039,0.202,0.24100000000000002,0.900058
Claranet,0002,0,0.039,0.171,0.21000000000000002,0.900027
Claranet,0003,0,0.039,0.339,0.378,0.9000279999999999
Claranet,0004,0,0.039,0.148,0.187,0.90004
Cogentco,0000,1,-,-,-,-
Cogentco,0001,1,-,-,-,-
Cogentco,0002,1,-,-,-,-
Cogentco,0003,1,-,-,-,-
Cogentco,0004,1,-,-,-,-
Colt,0000,0,209.685,454.322,664.0070000000001,0.898647
Colt,0001,0,209.685,460.603,670.288,0.898706
Colt,0002,0,209.685,464.003,673.688,0.898778
Colt,0003,0,209.685,451.322,661.0070000000001,0.898713
Colt,0004,0,209.685,462.265,671.95,0.898665
Columbus,0000,0,11.892,58.986,70.878,0.899817
Columbus,0001,0,11.892,47.307,59.199,0.899767
Columbus,0002,0,11.892,59.417,71.309,0.899792
Columbus,0003,0,11.892,55.562,67.454,0.899748
Columbus,0004,0,11.892,48.774,60.666,0.899726
Compuserve,0000,0,0.048,0.756,0.804,0.8999555555555555
Compuserve,0001,0,0.048,0.781,0.8290000000000001,0.8998666666666667
Compuserve,0002,0,0.048,1.502,1.55,0.9001111111111111
Compuserve,0003,0,0.048,0.386,0.434,0.8999111111111111
Compuserve,0004,0,0.048,0.319,0.367,0.8999111111111111
CrlNetworkServices,0000,0,0.258,1.696,1.954,0.8991555555555556
CrlNetworkServices,0001,0,0.258,1.814,2.072,0.8986444444444444
CrlNetworkServices,0002,0,0.258,1.759,2.017,0.8986444444444445
CrlNetworkServices,0003,0,0.258,1.423,1.681,0.8986444444444445
CrlNetworkServices,0004,0,0.258,1.365,1.623,0.8987111111111109
Cudi,0000,0,0.137,0.221,0.358,0.8998870833333332
Cudi,0001,0,0.137,0.205,0.34199999999999997,0.8999529166666667
Cudi,0002,0,0.137,0.147,0.28400000000000003,0.8998883333333332
Cudi,0003,0,0.137,0.227,0.364,0.8998845833333333
Cudi,0004,0,0.137,0.163,0.30000000000000004,0.8998883333333334
Cwix,0000,0,0.273,1.287,1.56,0.8988
Cwix,0001,0,0.273,1.359,1.6320000000000001,0.8989333333333334
Cwix,0002,0,0.273,1.174,1.447,0.8989111111111111
Cwix,0003,0,0.273,1.455,1.7280000000000002,0.8988666666666667
Cwix,0004,0,0.273,1.458,1.7309999999999999,0.8989333333333334
Cynet,0000,0,0.061,0.085,0.14600000000000002,0.8994971804511278
Cynet,0001,0,0.061,0.067,0.128,0.8994501879699248
Cynet,0002,0,0.061,0.059,0.12,0.8994736842105263
Cynet,0003,0,0.061,0.059,0.12,0.8995112781954887
Cynet,0004,0,0.061,0.06,0.121,0.8994736842105263
Darkstrand,0000,0,0.141,0.691,0.832,0.900037
Darkstrand,0001,0,0.141,0.832,0.973,0.899953
Darkstrand,0002,0,0.141,0.676,0.8170000000000001,0.89999
Darkstrand,0003,0,0.141,0.801,0.9420000000000001,0.90003
Darkstrand,0004,0,0.141,0.699,0.84,0.900031
Dataxchange,0000,0,0.023,0.092,0.11499999999999999,1.0392666666666666
Dataxchange,0001,0,0.023,0.058,0.081,1.0802222222222222
Dataxchange,0002,0,0.023,0.054,0.077,1.2024
Dataxchange,0003,0,0.023,0.074,0.097,0.8999333333333334
Dataxchange,0004,0,0.023,0.067,0.09,1.432511111111111
Deltacom,0000,1,3549.747,2176.036,5725.782999999999,6.154845952987671
Deltacom,0001,1,3549.747,2108.339,5658.085999999999,6.715105
Deltacom,0002,1,3549.747,2122.174,5671.921,5.757318
Deltacom,0003,1,3549.747,2117.074,5666.821,7.191555
Deltacom,0004,1,3549.747,2167.726,5717.473,6.399327993392944
DeutscheTelekom,0000,0,1.58,4.286,5.866,0.900039
DeutscheTelekom,0001,0,1.58,3.319,4.899,0.899957
