Topology,DemandFile,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Cesnet2001,0000,0.049,0.053,669,672
Cesnet2001,0004,0.049,0.044,669,672
Cesnet200304,0000,0.062,0.083,2602,4387
Cesnet200304,0001,0.071,0.086,2810,4693
Cesnet200304,0002,0.073,0.079,2431,4283
Cesnet200304,0003,0.068,0.073,2484,4262
Cesnet200304,0004,0.07,0.075,2290,3383
Cesnet200511,0000,0.1,0.132,5873,11688
Cesnet200511,0001,0.107,0.128,5997,11365
Cesnet200511,0002,0.11,0.135,5010,8591
Cesnet200511,0003,0.121,0.142,5730,12244
Cesnet200511,0004,0.107,0.139,6374,14627
Cesnet200603,0000,0.107,0.16,5379,10564
Cesnet200603,0001,0.105,0.131,6309,14393
Cesnet200603,0002,0.11,0.132,6033,13451
Cesnet200603,0003,0.106,0.128,6343,13332
Cesnet200603,0004,0.112,0.136,6412,14031
Cesnet200706,0000,0.12,0.19,9416,24262
Cesnet200706,0001,0.125,0.168,8418,17184
Cesnet200706,0002,0.186,0.147,7949,17059
Cesnet200706,0003,0.129,0.181,9545,23668
Cesnet200706,0004,0.13,0.166,8519,21819
Cesnet201006,0000,0.167,0.255,13443,37144
Cesnet201006,0001,0.193,0.301,14508,44212
Cesnet201006,0002,0.197,0.26,13272,33289
Cesnet201006,0003,0.181,0.319,15455,48733
Cesnet201006,0004,0.191,0.369,17082,59827
Chinanet,0000,0.138,1.3,20789,182078
Chinanet,0001,0.142,0.775,18024,121988
Chinanet,0002,0.135,0.573,16763,103629
Chinanet,0003,0.128,0.665,17829,116625
Chinanet,0004,0.139,0.843,19508,133195
Claranet,0000,0.028,0.04,657,1150
Claranet,0001,0.035,0.033,676,1234
Claranet,0002,0.035,0.041,638,1090
Claranet,0003,0.036,0.032,660,1173
Claranet,0004,0.031,0.042,772,1500
Cogentco,0000,19.761,1800.044,1175126,-1
Cogentco,0001,19.03,1800.069,1103955,-1
Cogentco,0002,19.321,1800.679,1232536,-1
Cogentco,0003,20.284,1800.568,1187661,-1
Cogentco,0004,17.941,1800.078,1107973,-1
Colt,0000,6.193,50.346,310397,2583470
Colt,0001,6.302,37.158,283520,2046925
Colt,0002,6.086,41.869,307381,2443335
Colt,0003,5.714,32.479,269406,2128867
Colt,0004,6.193,66.628,333431,2999573
Columbus,0000,0.549,1.313,37108,183031
