Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Cesnet200706,0000,0.31,0.978,0.43,1.168,0.9000395606542905,0.9000803425856704
Cesnet200706,0001,0.287,0.638,0.412,0.806,0.9001035323113569,0.9002068319985063
Cesnet200706,0002,0.477,1.058,0.663,1.205,0.9000842681191722,0.9001643053855702
Cesnet200706,0003,0.349,1.468,0.478,1.649,0.9000288744797578,0.9000666
Cesnet200706,0004,0.346,1.42,0.476,1.5859999999999999,0.900073,0.899994198933825
Cesnet201006,0000,0.597,1.953,0.764,2.208,0.9000682772013674,0.9000695491313482
Cesnet201006,0001,0.632,2.597,0.825,2.898,0.9000288473719638,0.8999800052607024
Cesnet201006,0002,0.908,1.925,1.105,2.185,0.9000120578962176,0.9000664964993943
Cesnet201006,0003,0.972,4.084,1.153,4.403,0.9000026456143599,0.9000341894778829
Cesnet201006,0004,0.932,3.796,1.123,4.165,0.9000084964922714,0.8999981938594274
Chinanet,0000,3.551,110.083,3.689,111.383,0.900062,0.899982
Chinanet,0001,5.133,30.556,5.275,31.331,1.192499,1.192499
Chinanet,0002,3.793,27.49,3.928,28.063,0.9000318333333333,0.9000665
Chinanet,0003,2.291,33.573,2.419,34.238,0.900132,0.90009275
Chinanet,0004,5.442,31.765,5.581,32.608000000000004,0.90019625,0.900155
Claranet,0000,0.239,0.143,0.267,0.183,0.900054,0.9000395
Claranet,0001,0.084,0.166,0.11900000000000001,0.199,0.900054,0.900005
Claranet,0002,0.075,0.118,0.11,0.159,0.900002,0.9000345
Claranet,0003,0.173,0.499,0.209,0.531,0.900045,0.900026
Claranet,0004,0.129,0.094,0.16,0.136,0.9000635,0.900025
Cogentco,0000,315.303,0.0,335.064,1800.044,0.8985035,0.0
Cogentco,0001,324.994,0.0,344.024,1800.069,0.898836,0.0
Cogentco,0002,324.839,0.0,344.16,1800.679,0.898553,0.0
Cogentco,0003,336.115,0.0,356.399,1800.568,0.8985706875,0.0
Cogentco,0004,474.863,0.0,492.804,1800.078,0.9032002777777777,0.0
Colt,0000,64.505,816.54,70.698,866.886,0.898647,0.898647
Colt,0001,56.742,588.226,63.044,625.384,0.898636,0.898661
Colt,0002,62.516,933.41,68.602,975.279,0.8987645,0.898863
Colt,0003,48.172,677.968,53.885999999999996,710.447,0.8986395,0.898703
Colt,0004,67.891,876.627,74.084,943.255,0.8986265,0.8986265
Columbus,0000,3.214,31.98,3.763,33.293,0.8997425,0.8997285
Columbus,0001,4.541,55.831,5.019,58.559000000000005,0.899777,0.8997315
Columbus,0002,4.828,67.659,5.323,69.682,0.899761,0.899746
Columbus,0003,3.151,27.052,3.6239999999999997,28.2,0.899768,0.899741
Columbus,0004,3.591,39.633,4.113,41.150000000000006,0.899788,0.8997575
Compuserve,0000,0.324,0.391,0.35300000000000004,0.431,0.8999333333333334,0.8999222222222222
Compuserve,0001,0.721,0.662,0.757,0.6950000000000001,0.8999111111111111,0.8999333333333333
Compuserve,0002,78.552,8.373,78.58200000000001,8.407,0.9000222222222222,0.9000444444444444
Compuserve,0003,0.261,0.573,0.29100000000000004,0.61,0.8999222222222222,0.8999555555555554
Compuserve,0004,0.173,0.511,0.19999999999999998,0.549,0.8999111111111111,0.8999111111111111
CrlNetworkServices,0000,0.391,1.206,0.482,1.3439999999999999,0.8991444444444445,0.8991444444444445
CrlNetworkServices,0001,0.404,1.283,0.494,1.412,0.8986666666666666,0.8986888888888889
CrlNetworkServices,0002,0.51,1.355,0.611,1.491,0.8987111111111111,0.8987222222222222
CrlNetworkServices,0003,0.229,0.807,0.317,0.9420000000000001,0.8985888888888889,0.8986777777777778
CrlNetworkServices,0004,0.32,1.326,0.41300000000000003,1.453,0.8986666666666666,0.8986666666666666
Cwix,0000,0.296,0.979,0.391,1.115,0.8988,0.8988444444444443
Cwix,0001,0.393,0.957,0.488,1.07,0.8989111111111111,0.8989333333333334
Cwix,0002,0.386,1.969,0.478,2.103,0.8989222222222222,0.8988666666666667
Cwix,0003,0.437,1.028,0.537,1.169,0.8988222222222221,0.8988666666666667
Cwix,0004,0.314,1.069,0.40700000000000003,1.197,0.8989185185185185,0.8989555555555554
Darkstrand,0000,0.163,0.451,0.261,0.542,0.8999565,0.9000125
Darkstrand,0001,0.246,0.293,0.315,0.378,0.9,0.89996
Darkstrand,0002,0.223,0.545,0.28700000000000003,0.657,0.899978,0.8999945
Darkstrand,0003,0.186,0.541,0.262,0.642,0.9000355,0.899995
Darkstrand,0004,0.176,0.441,0.248,0.524,0.89997,0.899958
Dataxchange,0000,0.065,0.103,0.083,0.122,0.948288888888889,0.9482888888888886
Cesnet201006,0001,2.595,11.696,2.919,12.422,0.9000025184213619,0.8999786061377235
Dataxchange,0002,0.068,0.06,0.094,0.08,1.1685777777777777,1.1685777777777773
Dataxchange,0003,0.06,0.043,0.087,0.065,0.8999333333333334,0.8999333333333334
Dataxchange,0004,0.044,0.047,0.061,0.066,1.117888888888889,1.117888888888889
Deltacom,0000,68.043,55.366,70.95400000000001,302.634,0.89969725,0.0
Deltacom,0001,50.869,65.85,54.175,405.15,0.9001855,0.0
Deltacom,0002,41.274,52.264,44.014,236.21900000000002,0.89961,0.0
Deltacom,0003,43.019,1131.69,45.866,1345.9250000000002,1.110762,0.952133
Deltacom,0004,41.357,1227.185,44.36,1452.846,0.947749,0.946356
DeutscheTelekom,0000,0.655,3.969,0.74,4.377,0.9000615,0.8999985
DeutscheTelekom,0001,0.375,2.414,0.456,2.802,0.899957,0.899957
DeutscheTelekom,0002,0.366,5.81,0.444,6.776,0.899957,0.899957
DeutscheTelekom,0003,0.548,8.345,0.629,9.394,0.899961,0.899961
DeutscheTelekom,0004,0.452,4.719,0.538,5.337000000000001,0.89996,0.89996
Dfn,0000,2.121,35.694,2.3970000000000002,37.728,0.900005,0.900033
Dfn,0001,24.38,166.633,24.7,169.37400000000002,0.9127805,0.912676
Dfn,0002,7.184,61.397,7.513,64.484,1.035396,0.998387
Dfn,0003,10.86,173.127,11.168999999999999,176.882,0.9498335,0.934926
Dfn,0004,15.692,200.685,16.011,204.549,0.943042,0.942665
DialtelecomCz,0000,43.525,454.5,48.166,467.589,0.899208,0.899287
DialtelecomCz,0001,48.812,405.501,53.358,416.688,0.899258,0.8992095
DialtelecomCz,0002,64.609,660.916,69.22399999999999,681.1400000000001,0.899287,0.899286
DialtelecomCz,0003,57.713,591.534,62.327,606.968,0.899297,0.8992905
DialtelecomCz,0004,55.707,519.341,60.465,534.726,0.899246,0.899282
Digex,0000,0.347,0.698,0.429,0.871,0.8988888888888888,0.8989222222222222
Digex,0001,0.261,0.623,0.35,0.752,0.8988111111111111,0.8988555555555555
Digex,0002,0.3,0.641,0.38,0.768,0.8988555555555555,0.8988444444444444
Digex,0003,0.229,0.712,0.316,0.822,0.8987555555555555,0.8987555555555555
Digex,0004,0.338,0.617,0.42100000000000004,0.732,0.8988222222222223,0.8988
Easynet,0000,0.112,0.235,0.158,0.302,0.900027,0.899996
Easynet,0001,0.121,0.171,0.16699999999999998,0.226,0.9076685,0.907717
Easynet,0002,0.088,0.232,0.126,0.28300000000000003,0.899989,0.900013
Easynet,0003,0.131,0.423,0.171,0.491,0.900014,0.899987
Easynet,0004,0.124,0.431,0.17099999999999999,0.496,0.899982,0.900069
Eenet,0000,0.063,0.061,0.09,0.087,0.900075,0.900075
Eenet,0001,0.079,0.051,0.11,0.078,0.9000238333333331,0.9000238333333331
Eenet,0002,0.079,0.038,0.11699999999999999,0.065,0.900038,0.900038
Eenet,0003,0.044,0.053,0.078,0.087,0.9000048333333334,0.9000048333333334
CrlNetworkServices,0004,0.778,4.009,0.87,4.267,0.8986888888888886,0.8987333333333333
EliBackbone,0000,0.447,0.832,0.499,0.9209999999999999,0.9000345,0.89999
EliBackbone,0001,0.241,1.076,0.291,1.153,0.900064,0.900039
EliBackbone,0002,0.68,1.399,0.7240000000000001,1.51,0.900029,0.900004
EliBackbone,0003,1.239,1.82,1.2890000000000001,1.9060000000000001,0.900072,0.900036
EliBackbone,0004,0.544,1.035,0.5940000000000001,1.1179999999999999,0.900065,0.900063
Epoch,0000,0.052,0.037,0.072,0.06,0.9926666666666667,0.9926666666666667
Cwix,0001,1.181,4.597,1.2630000000000001,4.87,0.8989222222222222,0.8989555555555555
Epoch,0002,0.101,0.211,0.12100000000000001,0.236,0.9005444444444445,0.9003888888888888
Epoch,0003,0.09,0.1,0.11699999999999999,0.125,0.9017222222222222,0.9000111111111111
Epoch,0004,0.186,0.42,0.202,0.44999999999999996,0.9006111111111109,0.9002222222222205
Ernet,0000,0.176,0.28,0.246,0.369,0.899951,0.899951
Ernet,0001,0.101,0.27,0.176,0.34500000000000003,0.899946,0.899946
Ernet,0002,0.159,0.164,0.223,0.242,0.899949,0.899949
Ernet,0003,0.154,0.186,0.22899999999999998,0.266,0.899947,0.899947
Ernet,0004,0.161,0.137,0.243,0.224,0.899949,0.899949
Esnet,0000,1.879,12.446,2.243,13.267,0.9004279723111265,0.9003728435938886
Esnet,0001,1.288,10.273,1.693,11.104,0.90015995,0.9003688633955536
Esnet,0002,1.604,11.094,1.955,11.833,0.9003830317135074,0.90041865
Esnet,0003,1.687,9.001,2.069,9.578,1.11507665,1.1152216922947875
Esnet,0004,1.288,10.131,1.641,10.858,0.9492010850852344,0.9494062138143535
Eunetworks,0000,0.09,0.277,0.125,0.31100000000000005,0.9000035,0.9000205
Eunetworks,0001,0.059,0.112,0.087,0.14300000000000002,0.900019,0.8999915
Eunetworks,0002,0.053,0.145,0.081,0.177,0.9000525,0.9000360000000001
Eunetworks,0003,0.133,0.147,0.165,0.183,0.9000224999999983,0.9000115
Eunetworks,0004,0.087,0.265,0.11499999999999999,0.319,0.9000285,0.9000404999999999
Evolink,0000,0.323,0.889,0.425,1.0150000000000001,0.899923,0.899942
Evolink,0001,0.316,1.102,0.41700000000000004,1.262,0.899992,0.8999776666666666
Evolink,0002,0.28,1.3,0.37,1.453,0.89997375,0.8999265
Evolink,0003,0.223,0.709,0.321,0.851,0.8999356666666667,0.8999573333333333
