Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
BtAsiaPac,0002,0.002,2.445,2.447,0.900072
BtAsiaPac,0003,0.003,1.09,1.093,0.90004
BtAsiaPac,0004,0.002,1.223,1.225,0.900045
BtEurope,0000,0.003,0.238,0.241,0.899996
BtEurope,0001,0.003,0.458,0.461,0.900041
BtEurope,0002,0.003,0.372,0.375,0.90005
BtEurope,0003,0.003,0.332,0.335,0.900046
BtEurope,0004,0.003,0.249,0.252,1.131795
BtLatinAmerica,0000,0.015,1.057,1.072,0.899748
BtLatinAmerica,0001,0.015,1.041,1.056,0.899738
BtLatinAmerica,0002,0.014,1.055,1.069,0.899758
BtLatinAmerica,0003,0.014,1.052,1.066,0.899746
BtLatinAmerica,0004,0.014,1.051,1.065,0.89975
BtNorthAmerica,0000,0.007,60.036,60.043,0.900048
BtNorthAmerica,0001,0.008,29.163,29.171,0.900074
BtNorthAmerica,0002,0.007,16.84,16.847,0.90006
BtNorthAmerica,0003,0.008,136.241,136.249,0.900065
BtNorthAmerica,0004,0.008,7.239,7.247,0.900068
Canerie,0000,0.006,0.445,0.451,0.899953
Canerie,0001,0.006,0.387,0.393,0.900002
Canerie,0002,0.005,0.424,0.429,0.900011
Canerie,0003,0.006,0.443,0.449,0.899986
Canerie,0004,0.006,0.473,0.479,0.899945
Carnet,0000,0.014,0.599,0.613,0.899842
Carnet,0001,0.014,0.61,0.624,0.899832
Carnet,0002,0.014,0.601,0.615,0.899832
Carnet,0003,0.014,0.6,0.614,0.899839
Carnet,0004,0.013,0.598,0.611,0.899834
Cernet,0000,0.011,0.597,0.608,1.3497999999999999
Cernet,0001,0.021,0.607,0.628,1.1321548387096774
Cernet,0002,0.011,0.604,0.615,1.037644630217289
Cernet,0003,0.011,0.601,0.612,1.3497161290322581
Cernet,0004,0.011,0.598,0.609,1.3498258064516129
Cesnet1993,0000,0.0,0.035,0.035,0.8981666666666667
Cesnet1993,0001,0.0,0.038,0.038,0.8975
Cesnet1993,0002,0.0,0.059,0.059,0.8975
Cesnet1993,0003,0.0,0.034,0.034,0.8975
Cesnet1993,0004,0.0,0.036,0.036,0.8985
Cesnet1997,0000,0.001,0.046,0.047,0.8994705882352941
Cesnet1997,0001,0.001,0.045,0.046,0.8995
Cesnet1997,0002,0.001,0.046,0.047,0.8994705882352941
Cesnet1997,0003,0.001,0.045,0.046,0.8993529411764706
Cesnet1997,0004,0.001,0.044,0.045,0.8993823529411765
Cesnet1999,0000,0.001,0.046,0.047,0.8998774193548387
Cesnet1999,0001,0.0,0.043,0.043,0.8998529411764706
Cesnet1999,0002,0.001,0.046,0.047,0.89925
Cesnet1999,0003,0.0,0.046,0.046,0.8992258064516129
Cesnet1999,0004,0.001,0.045,0.046,0.8998529411764706
Cesnet2001,0000,0.003,0.128,0.131,1.0581070126807588
Cesnet2001,0001,0.003,0.118,0.121,1.0581070126807588
Cesnet2001,0002,0.003,0.119,0.122,1.0581092801387684
Cesnet2001,0003,0.002,0.124,0.126,1.0581002103067303
Cesnet2001,0004,0.002,0.118,0.12,1.0581070126807588
Cesnet200304,0000,0.005,0.372,0.377,0.900048
Cesnet200304,0001,0.004,0.262,0.266,0.8999583333333333
Cesnet200304,0002,0.004,0.295,0.299,0.900042
Cesnet200304,0003,0.005,0.256,0.261,0.9000303999999999
Cesnet200304,0004,0.004,0.235,0.239,0.8999533333333334
Cesnet200511,0000,0.01,0.545,0.555,0.9000079999999999
Cesnet200511,0001,0.01,0.552,0.562,0.9000888
Cesnet200511,0002,0.01,0.567,0.577,0.9000484
Cesnet200511,0003,0.01,0.58,0.59,0.9000897994679578
Cesnet200511,0004,0.009,0.598,0.607,0.9000352
Cesnet200603,0000,0.009,0.628,0.637,0.9000627999999999
Cesnet200603,0001,0.011,0.537,0.548,0.899922
Cesnet200603,0002,0.01,0.543,0.553,0.9000324000000001
Cesnet200603,0003,0.009,0.736,0.745,0.9000530112372968
Cesnet200603,0004,0.01,0.599,0.609,0.9000248000000001
Cesnet200706,0000,0.014,0.808,0.822,0.900028
Cesnet200706,0001,0.013,0.727,0.74,0.9000348
Cesnet200706,0002,0.014,0.787,0.801,0.9000088106418597
Cesnet200706,0003,0.014,0.829,0.843,0.9000166617088632
Cesnet200706,0004,0.014,0.882,0.896,0.9000341085244268
Cesnet201006,0000,0.017,1.415,1.432,0.8999952684204715
Cesnet201006,0001,0.017,1.478,1.495,0.8999688122768716
Cesnet201006,0002,0.018,1.476,1.494,0.9000537771995867
Cesnet201006,0003,0.017,1.631,1.648,0.9000196894761022
Cesnet201006,0004,0.017,1.462,1.479,0.9000196894761022
Chinanet,0000,0.011,1.849,1.86,0.900064
Chinanet,0001,0.012,2.108,2.12,1.192499
Chinanet,0002,0.012,1.579,1.591,0.900051
Chinanet,0003,0.011,2.16,2.171,0.900075
Chinanet,0004,0.011,0.901,0.912,1.260922
Claranet,0000,0.002,0.256,0.258,0.900059
Claranet,0001,0.002,0.134,0.136,0.900031
Claranet,0002,0.002,0.114,0.116,0.900045
Claranet,0003,0.001,0.288,0.289,0.900036
Claranet,0004,0.001,0.076,0.077,0.900001
Cogentco,0000,0.413,543.819,544.232,0.89857
Cogentco,0001,0.411,556.302,556.713,0.898584
Cogentco,0002,0.408,562.683,563.091,0.898574
Cogentco,0003,0.408,551.334,551.742,0.898513
Cogentco,0004,0.41,566.094,566.504,0.898544
Colt,0000,0.154,120.739,120.893,0.898681
Colt,0001,0.152,119.439,119.591,0.898636
Colt,0002,0.148,122.303,122.451,0.898775
Colt,0003,0.15,117.876,118.026,0.89864
Colt,0004,0.162,116.136,116.298,0.898713
Columbus,0000,0.023,10.076,10.099,0.899801
Columbus,0001,0.026,8.343,8.369,0.899731
Columbus,0002,0.023,9.11,9.133,0.899745
Columbus,0003,0.024,8.401,8.425,0.89974
Columbus,0004,0.025,9.087,9.112,0.899761
Compuserve,0000,0.001,0.287,0.288,0.8999555555555555
Compuserve,0001,0.001,0.478,0.479,0.8999333333333333
Compuserve,0002,0.001,0.23,0.231,0.9127777777777778
Compuserve,0003,0.001,0.141,0.142,0.9533333333333334
Compuserve,0004,0.001,0.08,0.081,0.9736666666666667
CrlNetworkServices,0000,0.006,0.688,0.694,0.8991333333333333
CrlNetworkServices,0001,0.007,0.756,0.763,0.8986444444444442
CrlNetworkServices,0002,0.006,0.755,0.761,0.8986666666666666
CrlNetworkServices,0003,0.006,0.617,0.623,0.8986
CrlNetworkServices,0004,0.008,0.553,0.561,0.8986666666666666
Cudi,0000,0.017,1.167,1.184,0.8998870833333332
Cudi,0001,0.017,1.167,1.184,0.8999529166666667
Cudi,0002,0.018,1.155,1.173,0.8998883333333333
Cudi,0003,0.017,1.167,1.184,0.8998845833333333
Cudi,0004,0.017,1.255,1.272,0.8998883333333332
Cwix,0000,0.007,0.609,0.616,0.8988222222222216
Cwix,0001,0.011,0.808,0.819,0.8989333333333334
Cwix,0002,0.008,0.735,0.743,0.8989111111111111
Cwix,0003,0.008,0.653,0.661,0.8988444444444444
Cwix,0004,0.008,0.581,0.589,0.8989333333333334
Cynet,0000,0.005,0.206,0.211,0.8994971804511278
Cynet,0001,0.004,0.205,0.209,0.8994501879699248
Cynet,0002,0.005,0.197,0.202,0.8994736842105263
Cynet,0003,0.004,0.204,0.208,0.8995112781954887
Cynet,0004,0.005,0.203,0.208,0.8994736842105263
Darkstrand,0000,0.004,0.337,0.341,0.899992
Darkstrand,0001,0.003,0.401,0.404,0.899971
Darkstrand,0002,0.003,0.495,0.498,0.899957
Darkstrand,0003,0.003,0.377,0.38,0.8999699999999999
Darkstrand,0004,0.004,0.408,0.412,0.900005
Dataxchange,0000,0.0,0.052,0.052,1.0392666666666666
Dataxchange,0001,0.0,0.034,0.034,1.0802222222222222
Dataxchange,0002,0.0,0.034,0.034,1.2024
Dataxchange,0003,0.0,0.049,0.049,0.8999333333333334
Dataxchange,0004,0.001,0.04,0.041,1.432511111111111
Deltacom,0000,0.11,74.589,74.699,0.995814
Deltacom,0001,0.076,65.025,65.101,1.0214299999999998
Deltacom,0002,0.075,65.936,66.011,0.899667
Deltacom,0003,0.08,66.087,66.167,1.095127
Deltacom,0004,0.075,62.028,62.103,1.103633
DeutscheTelekom,0000,0.005,0.708,0.713,0.900018
DeutscheTelekom,0001,0.006,0.376,0.382,0.899957
DeutscheTelekom,0002,0.005,0.352,0.357,0.899957
DeutscheTelekom,0003,0.005,0.387,0.392,0.899961
DeutscheTelekom,0004,0.005,0.445,0.45,0.89996
Dfn,0000,0.019,2.667,2.686,0.900012
Dfn,0001,0.019,6.719,6.738,0.92596
Dfn,0002,0.02,4.168,4.188,0.977581
Dfn,0003,0.019,4.118,4.137,0.958014
Dfn,0004,0.018,4.735,4.753,0.967341
DialtelecomCz,0000,0.112,134.726,134.838,0.899273
DialtelecomCz,0001,0.114,139.952,140.066,0.8992629999999999
DialtelecomCz,0002,0.123,138.516,138.639,0.899289
DialtelecomCz,0003,0.113,141.135,141.248,0.899292
DialtelecomCz,0004,0.117,139.882,139.999,0.899236
Digex,0000,0.006,0.446,0.452,0.8989333333333334
Digex,0001,0.005,0.413,0.418,0.8988222222222222
Digex,0002,0.005,0.467,0.472,0.8988444444444444
Digex,0003,0.005,0.506,0.511,0.8987777777777778
Digex,0004,0.005,0.537,0.542,0.8988
Easynet,0000,0.002,0.163,0.165,0.900062
Easynet,0001,0.002,0.127,0.129,0.899999
Easynet,0002,0.001,0.15,0.151,0.899988
Easynet,0003,0.002,0.143,0.145,0.899978
Easynet,0004,0.002,0.142,0.144,0.90002
Eenet,0000,0.001,0.046,0.047,1.907983
Eenet,0001,0.001,0.068,0.069,1.907977
