Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_umax,3-SR_umax
Bren,0003,0.633,21.9,0.8999269662921349,0.899997191011236
Bren,0004,0.662,22.394,0.899968,0.900018
BsonetEurope,0000,0.366,2.747,0.9000596666666666,0.9000451666666666
BsonetEurope,0001,6.007,2.618,0.9000725833333324,0.9000523333333332
BsonetEurope,0002,0.307,2.2,0.9000599999999999,0.9000528333333334
BsonetEurope,0003,0.479,2.463,0.9000181666666667,0.9000197499999999
BsonetEurope,0004,0.515,3.974,0.9000756666666665,0.9000435833333333
BtAsiaPac,0000,3.202,7.611,0.9000815,0.9000723333333333
BtAsiaPac,0001,7.398,28.271,0.9000940000000001,0.900059
BtAsiaPac,0002,3.564,13.942,0.9000683333333332,0.900078
BtAsiaPac,0003,1.618,8.54,0.9000765,0.9000799999999993
BtAsiaPac,0004,1.556,7.219,0.9000755,0.900056
BtEurope,0000,0.815,9.349,0.9000475,0.9000015
BtEurope,0001,0.868,10.316,0.900069,0.900038
BtEurope,0002,1.147,18.988,0.900058,0.9000675
BtEurope,0003,0.902,8.895,0.9000475,0.900075
BtEurope,0004,0.811,17.392,1.1317949999999968,1.131795
BtLatinAmerica,0000,1.406,361.874,0.899748,0.899748
BtLatinAmerica,0001,1.324,375.496,0.899738,0.899738
BtLatinAmerica,0002,1.393,365.473,0.899758,0.899758
BtLatinAmerica,0003,1.343,390.192,0.899746,0.899746
BtLatinAmerica,0004,1.331,380.203,0.89975,0.89975
BtNorthAmerica,0000,253.732,1810.234,0.9000555,0.900226
BtNorthAmerica,0001,32.509,845.298,0.9000714583333332,0.9000656666666665
BtNorthAmerica,0002,135.058,1811.417,0.9000703333333333,0.9000408333333334
BtNorthAmerica,0003,215.633,1810.707,0.9000935,0.9002777208333334
BtNorthAmerica,0004,18.03,690.307,0.9000305,0.900066
Canerie,0000,0.735,18.528,0.899944999999994,0.899954
Canerie,0001,0.627,17.719,0.899945,0.899941
Canerie,0002,0.77,18.631,0.899984,0.899982
Canerie,0003,0.691,17.804,0.899941,0.900016
Canerie,0004,0.818,18.8,0.899947,0.900003
Carnet,0000,0.756,51.331,0.899842,0.899842
Carnet,0001,0.705,59.504,0.899832,0.899832
Carnet,0002,0.736,54.295,0.899832,0.899832
Carnet,0003,0.713,53.049,0.899839,0.899839
Carnet,0004,0.731,53.813,0.899834,0.899834
Cernet,0000,0.809,132.632,0.9565643362737012,0.9565876355435021
Cernet,0001,0.761,193.026,1.041833838927488,1.0418454885623885
Cernet,0002,0.711,157.672,1.037646960144269,1.0376527849617192
Cernet,0003,0.707,130.302,0.9492432,0.9492432
Cernet,0004,0.754,168.446,0.9283535803987903,0.9283559103257704
Cesnet1993,0000,0.043,0.182,0.8981666666666667,0.8981666666666667
