Topology,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Switch,0.661,20.703,92614,1240383
SwitchL3,0.288,2.431,19084,180959
Syringa,0.438,0.496,10326,10326
TataNld,12.164,3600.801,819461,-
Telcove,0.177,0.187,4970,4970
Telecomserbia,0.018,0.022,102,126
Tinet,0.368,51.34,68784,1428505
TLex,0.043,0.039,350,434
Tw,0.917,822.004,164054,4747264
Twaren,0.039,0.04,964,1156
Ulaknet,0.766,0.302,6736,6736
UniC,0.049,0.07,2238,4357
Uninet,0.028,0.052,1030,4024
Uninett2010,1.043,12.673,69332,721286
Uninett2011,0.94,5.393,62182,654190
Uran,0.04,0.041,642,722
UsCarrier,7.087,949.624,583290,9953918
UsSignal,0.471,28.188,72078,1148549
Uunet,0.292,32.235,53396,1095815
Vinaren,0.041,0.047,1218,1358
VisionNet,0.04,0.053,552,552
VtlWavenet2008,1.138,19.963,85974,795591
VtlWavenet2011,1.211,22.867,94730,871899
WideJpn,0.155,0.15,1213,1284
Xeex,0.067,0.433,6383,52697
Xspedius,0.105,2.072,17510,200777
York,0.073,0.061,1344,2340
Zamren,0.064,0.075,1190,1190
