Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_umax,3-SR_umax
Cesnet1993,0000,0.208353006,0.1986437,0.8981666666666667,0.8981666666666667
Cesnet1993,0001,0.201931116,0.193887149,0.8975,0.8975
Cesnet1993,0002,0.19443592,0.229523023,0.8975,0.8975
Cesnet1993,0003,0.215152414,0.194545536,0.8975,0.8975
Cesnet1993,0004,0.196496888,0.196036916,0.8985,0.8985
Cesnet1997,0000,0.40010337,0.331524453,0.8994705882352941,0.8994705882352941
Cesnet1997,0001,0.353202514,0.336135858,0.8995,0.8995
Cesnet1997,0002,0.225241688,0.343972903,0.8994705882352941,0.8994705882352941
Cesnet1997,0003,0.351354304,0.339814907,0.8993529411764706,0.8993529411764706
Cesnet1997,0004,0.335920963,0.354148611,0.8993823529411765,0.8993823529411765
Cesnet1999,0000,0.352028075,0.328355118,0.8998774193548387,0.8998774193548387
Cesnet1999,0001,0.338207639,0.328893329,0.8998529411764706,0.8998529411764706
Cesnet1999,0002,0.336674132,0.323682039,0.89925,0.89925
Cesnet1999,0003,0.350625613,0.328689898,0.8992258064516129,0.8992258064516129
Cesnet1999,0004,0.354344198,0.374569586,0.8998529411764706,0.8998529411764706
Cesnet2001,0000,1.339081782,1.268960709,1.058107012680759,1.058107012680759
Cesnet2001,0001,1.127008908,1.179205631,1.058107012680759,1.058107012680759
Cesnet2001,0002,1.175976828,1.167128154,1.0581092801387684,1.0581092801387684
Cesnet2001,0003,1.154024061,1.263680879,1.0581002103067303,1.0581002103067303
Cesnet2001,0004,1.153169163,1.377651279,1.058107012680759,1.058107012680759
Cesnet200304,0000,4.190331791,3.983779425,0.9000488,0.900055
Cesnet200304,0001,3.78963607,3.61172596,0.8999583333333333,0.8999583333333333
Cesnet200304,0002,3.239906095,3.297391803,0.900044,0.9000456
Cesnet200304,0003,3.274157116,3.442287967,0.900047,0.9000548
Cesnet200304,0004,3.271847784,3.422919564,0.8999533333333334,0.8999533333333334
Cesnet200511,0000,10.320020014,10.493307634,0.9000554,0.9000602482662793
Cesnet200511,0001,12.099326955,11.748224837,0.928796,0.928796
Cesnet200511,0002,10.970534904,12.169055453,0.9000276,0.9000276
Cesnet200511,0003,13.748258748,12.94039634,0.9000978,0.9000564
Cesnet200511,0004,11.034353462,12.530373406,0.900036,0.900032
Cesnet200603,0000,12.881945292,12.944367046,0.9001072,0.9001072
Cesnet200603,0001,9.276823147,9.643492204,0.9164822731990503,0.9158282
Cesnet200603,0002,10.575604521,10.522717143,0.9000412,0.8999896872337
Cesnet200603,0003,8.939178241,9.313791787,1.0482762,1.0482762
Cesnet200603,0004,9.140645356,9.74295489,0.9264470590221929,0.9264470590221929
Cesnet200706,0000,27.122957971,28.056438746,0.96381,0.96381
Cesnet200706,0001,21.850985555,23.13345313,0.9750747159876512,0.9750747159876512
Cesnet200706,0002,25.6157086,23.744229338,0.9000112,0.9000488
Cesnet200706,0003,26.929014017,27.957862006,0.9000196,0.9000068478751088
Cesnet200706,0004,26.579849079,24.867455356,0.8999879835057806,0.9000540633197277
Cesnet201006,0000,57.829423034,55.435357524,0.8999690666628678,0.9000157464931619
Cesnet201006,0001,60.092406579,55.054307945,0.9000180995636262,0.8999930425430053
Cesnet201006,0002,63.611115373,64.054491612,0.9000738100967837,0.8999608627144919
Cesnet201006,0003,57.870573825,59.538778645,0.9000245228100291,0.8999896719285562
Cesnet201006,0004,57.672692031,60.888387259,0.9000155345048317,0.9000263883073343
Chinanet,0000,34.926446089,32.464129636,1.24757975,1.111315375
Chinanet,0001,34.800664016,34.678251874,1.386723125,1.386723125
Chinanet,0002,-,44.44924599,-,0.9764776666666666
Chinanet,0003,30.716528397,30.070546451,0.9812321666666667,0.9812321666666667
Chinanet,0004,38.745080548,33.356159502,1.267532,1.30966325
Claranet,0000,0.85448095,0.905862049,0.9000225,0.9000225
Claranet,0001,0.541537627,0.731537064,0.9000605,0.9000715
Claranet,0002,0.583441203,1.057850976,0.900069,0.8999935
Claranet,0003,0.871124001,0.858440515,0.9000655,0.900163
Claranet,0004,0.525168578,0.507546534,0.9000105,0.9000105
Cogentco,0000,-,-,-,-
Cogentco,0001,-,-,-,-
Cogentco,0002,-,-,-,-
Cogentco,0003,-,-,-,-
Cogentco,0004,-,-,-,-
Colt,0000,-,-,-,-
Colt,0001,-,-,-,-
Colt,0002,-,-,-,-
Colt,0003,-,-,-,-
Colt,0004,-,-,-,-
Columbus,0000,219.266823503,221.730140258,0.8997964166666667,0.8997480833333332
Columbus,0001,209.904651455,213.301755233,0.8998168333333333,0.8998136666666667
Columbus,0002,219.685894255,229.345969255,0.8998105,0.8998105
Columbus,0003,210.307702958,214.167620444,0.899797,0.8998145
Columbus,0004,220.435824184,219.839597709,0.8997495833333333,0.8997694166666665
Compuserve,0000,1.421760875,1.408828213,0.89995,0.8999944444444444
Compuserve,0001,1.089826917,1.068889781,0.8999333333333334,0.8999111111111111
Compuserve,0002,1.158050947,0.850779654,0.9012,0.9006555555555555
Compuserve,0003,1.292017677,1.417917814,0.8998888888888888,0.8998888888888888
Compuserve,0004,1.361062005,1.608642983,0.8998888888888888,0.8999333333333334
CrlNetworkServices,0000,5.156847263,5.83897136,0.8991555555555556,0.8991333333333333
CrlNetworkServices,0001,5.999963291,6.12121554,0.8986888888888889,0.8987111111111111
CrlNetworkServices,0002,5.774607652,6.160668264,0.8987222222222222,0.8986888888888889
CrlNetworkServices,0003,5.21312802,5.676935971,0.8986111111111111,0.8986777777777778
CrlNetworkServices,0004,5.74631373,5.644019561,0.8987444444444445,0.8986888888888889
Cudi,0000,31.851823546,31.327850903,0.8998870833333333,0.8998870833333333
