Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Cesnet200511,0003,0.502,1.514,0.589,1.708,0.9001692,0.9003142
Cesnet200511,0004,0.347,2.154,0.43399999999999994,2.348,0.900049,0.9001615666720342
Cesnet200603,0000,0.4,1.404,0.488,1.5879999999999999,0.9004058164001932,0.9004266
Cesnet200603,0001,0.367,1.274,0.45499999999999996,1.458,0.899922,0.899922
Cesnet200603,0002,0.465,1.199,0.553,1.383,0.9000959999999999,0.9002297153616192
Cesnet200603,0003,0.379,1.337,0.46699999999999997,1.521,0.9000864,0.9001514
Cesnet200603,0004,0.5,2.184,0.588,2.3680000000000003,0.9000038,0.9000686
Cesnet200706,0000,0.566,1.649,0.6739999999999999,1.8800000000000001,0.9000332361836486,0.9000753266261958
Cesnet200706,0001,0.423,1.788,0.531,2.019,0.9000674755591922,0.9000948452511076
Cesnet200706,0002,0.387,1.408,0.495,1.639,0.9001,0.9000020500008288
Cesnet200706,0003,0.505,2.385,0.613,2.6159999999999997,0.9001415154827404,0.9000524276807687
Cesnet200706,0004,0.463,2.228,0.5710000000000001,2.459,0.9000548266179086,0.900100188338374
Cesnet201006,0000,0.908,10.779,1.078,11.445,0.8999890359635658,0.8999914526305293
Cesnet201006,0001,1.037,10.72,1.2069999999999999,11.386000000000001,0.8999705929788447,0.8999571741175477
Cesnet201006,0002,1.081,15.004,1.251,15.67,0.8999982574559263,0.9000668780783886
Cesnet201006,0003,1.415,15.712,1.585,16.378,0.9000254131610157,0.8999731368388063
Cesnet201006,0004,1.046,15.243,1.216,15.909,0.9000134146215303,0.9000283385999713
Chinanet,0000,6.278,114.769,6.438,117.7,0.90002725,0.899991375
Chinanet,0001,14.604,205.989,14.764,208.92000000000002,1.00850825,1.0084753333333332
Chinanet,0002,14.603,220.164,14.763,223.095,0.899986625,0.9000025
Chinanet,0003,11.539,137.968,11.699,140.899,0.9000716666666666,0.9000480833333333
Chinanet,0004,10.681,778.693,10.841,781.624,0.954757875,0.9526525
Claranet,0000,0.222,0.484,0.256,0.523,0.900054,0.900073
Claranet,0001,0.115,0.329,0.14900000000000002,0.368,0.8999865,0.9000145
Claranet,0002,0.182,0.6,0.216,0.639,0.9000285,0.900069
Claranet,0003,0.137,0.451,0.171,0.49,0.9000345,0.9000555
Claranet,0004,0.123,0.289,0.157,0.32799999999999996,0.9000075,0.89999
Cogentco,0000,465.852,-,489.974,-,0.898534,-
Cogentco,0001,525.348,-,549.4699999999999,-,0.8986913090277779,-
Cogentco,0002,494.164,-,518.286,-,0.8987625034722222,-
Cogentco,0003,577.646,-,601.7679999999999,-,0.899141420138889,-
Cogentco,0004,572.104,-,596.226,-,0.8991164756944446,-
Colt,0000,103.861,1851.162,109.762,2060.847,0.8986698333333333,0.8988279999999998
Colt,0001,112.933,1869.957,118.834,2079.6420000000003,0.898636,2.218322500000001
Colt,0002,120.357,1872.615,126.258,2082.3,0.8988258333333331,2.3367110000000366
Colt,0003,100.313,1750.748,106.214,1960.433,0.8986901666666667,0.8987125
Colt,0004,106.017,1861.353,111.91799999999999,2071.038,0.8986265,0.8989055833333333
Columbus,0000,9.208,259.857,9.734,271.749,0.8997385,0.8997353333333333
Columbus,0001,8.297,167.964,8.823,179.856,0.899731,0.899731
Columbus,0002,8.99,197.22,9.516,209.112,0.8997325,0.8998035833333332
Columbus,0003,8.571,247.224,9.097,259.116,0.89974,0.8997705
Columbus,0004,9.556,169.311,10.081999999999999,181.203,0.8997398333333333,0.899726
Compuserve,0000,1.536,0.602,1.564,0.65,0.8998944444444444,0.8999555555555556
Compuserve,0001,0.841,1.967,0.869,2.015,0.8999333333333334,0.8998888888888888
Compuserve,0002,4.597,9.779,4.625,9.827,0.9000888888888889,0.9000666666666667
Compuserve,0003,0.254,1.144,0.28200000000000003,1.192,0.8999111111111111,0.8999555555555555
Compuserve,0004,1.101,1.045,1.129,1.093,0.8999111111111111,0.8999166666666667
CrlNetworkServices,0000,0.776,2.712,0.868,2.97,0.8991222222222223,0.8991333333333333
CrlNetworkServices,0001,0.708,3.202,0.7999999999999999,3.46,0.8986666666666666,0.8986888888888889
