Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Arpanet19723,0001,0.439,1.208,0.49,1.329,0.90001575,0.89997225
Arpanet19723,0002,0.346,1.296,0.39699999999999996,1.417,0.899974,0.89999975
Arpanet19723,0003,0.27,1.253,0.321,1.3739999999999999,0.89997525,0.8999595
Arpanet19723,0004,0.369,0.924,0.42,1.045,0.8999867500000001,0.89999175
Arpanet19728,0000,1.432,8.453,1.5,8.873,0.900033,0.900013
Arpanet19728,0001,1.183,12.879,1.2510000000000001,13.299,0.90002375,0.900043
Arpanet19728,0002,1.375,5.89,1.443,6.31,0.9000015,0.90002375
Arpanet19728,0003,1.011,15.133,1.079,15.552999999999999,0.89996825,0.90000725
Arpanet19728,0004,0.813,5.633,0.881,6.053,0.900043,0.90000075
AsnetAm,0000,1.518,19.042,1.766,19.976000000000003,0.899725,0.899725
AsnetAm,0001,1.566,16.74,1.814,17.674,0.899732,0.899732
AsnetAm,0002,1.339,13.284,1.587,14.218,0.899717,0.899717
AsnetAm,0003,1.531,17.148,1.779,18.082,0.899718,0.899718
AsnetAm,0004,1.903,16.679,2.151,17.613,0.899929,0.89986775
Atmnet,0000,0.176,0.275,0.21999999999999997,0.333,0.8998419354838709,0.8998548387096774
Atmnet,0001,0.238,0.408,0.282,0.46599999999999997,0.8998806451612904,0.8999
Atmnet,0002,0.209,0.305,0.253,0.363,0.8998516129032252,0.8998709677419338
Atmnet,0003,0.196,0.453,0.24,0.511,0.8998774193548387,0.8998903225806452
Atmnet,0004,0.291,0.393,0.33499999999999996,0.451,0.8998903225806452,0.8998548387096774
AttMpls,0000,194.343,433.618,194.415,435.99899999999997,0.900083,0.9000786666666666
AttMpls,0001,131.687,1801.984,131.75900000000001,1804.365,0.9000855,0.9000915000000002
AttMpls,0002,5.643,274.852,5.715,277.23299999999995,0.9000504583333333,0.9000370416666666
AttMpls,0003,12.104,167.131,12.175999999999998,169.512,0.9000562499999998,0.9000516666666666
