Topology,2-SR_preprocTime,3-SR_preprocTime,4-SR_preprocTime,2-SR_paths,3-SR_paths,4-SR_paths,2-SR_percentage,3-SR_percentage,4-SR_percentage
Eunetworks,0.029,0.045,0.052,806,2126,3658,34.065934065934066%,8.056081849185299%,1.3719386415632149%
Evolink,0.083,0.281,1.477,8738,38724,133254,18.222389055722388%,2.3712946225181137%,0.24703807916964773%
Fatman,0.037,0.051,0.091,1320,4172,9260,30.330882352941174%,6.7868297761582514%,1.1516954549072673%
Fccn,0.04,0.048,0.057,1386,2466,2934,12.450592885375494%,1.1026058340636347%,0.06884847984246041%
Forthnet,0.129,0.148,0.149,5220,5220,5220,2.26265918804345%,0.038328856004068435%,0.0006606430682920838%
Funet,0.054,0.148,0.323,4198,16135,40141,25.833846153846153%,4.302093054259433%,0.4854601416192486%
Gambia,0.051,0.062,0.073,1788,2192,2192,8.759553203997648%,0.4282822598923042%,0.017813300359224054%
Garr199901,0.032,0.034,0.035,620,1000,1000,17.22222222222222%,2.1150592216582065%,0.17499650006999862%
Garr199904,0.038,0.044,0.05,1294,2082,2082,11.624146604383759%,0.9309105217033606%,0.04885566974505882%
Garr199905,0.043,0.043,0.047,1294,2082,2082,11.624146604383759%,0.9309105217033606%,0.04885566974505882%
Garr200109,0.046,0.038,0.042,1170,1878,1878,12.059369202226346%,1.0136995174401657%,0.05613775811262346%
Garr200112,0.042,0.053,0.049,1400,2248,2248,11.027095148078136%,0.8396832511579262%,0.04187623411944413%
Garr200212,0.047,0.057,0.058,1766,2830,2830,9.675651983344292%,0.6439838708209316%,0.027944953773319226%
Garr200404,0.038,0.041,0.051,1182,1902,1902,12.183055040197898%,1.0266541438611265%,0.056855173551762415%
Garr200902,0.189,0.487,1.626,18202,74414,212505,11.999789037880886%,0.9612088285404645%,0.05487640819556903%
Garr200908,0.176,0.486,1.526,18202,73142,206478,11.999789037880886%,0.9447783500027772%,0.05332002075906309%
Garr200909,0.188,0.49,1.53,18824,75732,214090,11.737124329716922%,0.9074373629533773%,0.050279825819354015%
Garr200912,0.187,0.446,1.517,18302,74042,210192,12.065714700104163%,0.9564036885907635%,0.05427910868658641%
Garr201001,0.195,0.533,2.335,20008,88906,281244,13.190406497633269%,1.1484026138927963%,0.07262728193009395%
Garr201003,0.183,0.473,1.552,18306,75580,217585,12.068351726593093%,0.9762701005333447%,0.05618824628706566%
Garr201004,0.192,0.472,1.563,18306,75580,217585,12.068351726593093%,0.9762701005333447%,0.05618824628706566%
Garr201005,0.19,0.479,1.613,18836,77328,221793,11.744606559421374%,0.9265609835004853%,0.052088903769218486%
Garr201007,0.194,0.465,1.591,18836,77328,221793,11.744606559421374%,0.9265609835004853%,0.052088903769218486%
Garr201008,0.194,0.475,1.602,18836,77328,221793,11.744606559421374%,0.9265609835004853%,0.052088903769218486%
Garr201010,0.198,0.486,1.656,19444,80000,229875,11.478158205430933%,0.8904362692501191%,0.04918561249743989%
Garr201012,0.207,0.558,2.495,21418,98946,324516,12.643447461629279%,1.1013138387152785%,0.06943564208904493%
Garr201101,0.215,0.559,2.506,21418,98946,324516,12.643447461629279%,1.1013138387152785%,0.06943564208904493%
