Topology,DemandFile,2-SR_SolveTime,2-SR_umax
Arpanet19728,0004,2.061006339,0.9000215
AsnetAm,0000,3.93594563,0.899725
AsnetAm,0001,3.326367843,0.899732
AsnetAm,0002,7.119878901,0.899717
AsnetAm,0003,4.320353097,0.899718
AsnetAm,0004,6.542043287,0.899908
Atmnet,0000,0.186902748,0.8998516129032258
Atmnet,0001,0.486309255,0.8999
Atmnet,0002,0.475794849,0.8998677419354839
Atmnet,0003,0.346728723,0.8998516129032258
Atmnet,0004,0.592937365,0.8998903225806452
AttMpls,0000,1296.314093012,0.900076861111111
AttMpls,0001,1801.129701703,0.90010975
AttMpls,0002,13.960096098,0.9000202833333333
AttMpls,0003,9.061447807,0.9000507499999999
AttMpls,0004,13.322483173,0.9000483333333332
Azrena,0000,0.130521222,0.89996
Azrena,0001,0.13859533,0.899949
Azrena,0002,0.133536603,0.899956
Azrena,0003,0.127112326,0.899946
Azrena,0004,0.12731144,0.899962
Bandcon,0000,0.374268585,0.900057
Bandcon,0001,0.349452177,0.8999953333333333
Bandcon,0002,0.31905459,0.899976
Bandcon,0003,0.648520367,0.900009
Bandcon,0004,0.353338681,0.90006
Basnet,0000,0.032337768,0.8997419354838709
Basnet,0001,0.032319022,0.8996129032258064
Basnet,0002,0.032268061,0.8996129032258064
Basnet,0003,0.031917276,0.8996129032258064
Basnet,0004,0.032454697,0.8997419354838709
Bbnplanet,0000,0.402738012,0.8991333333333333
Bbnplanet,0001,0.535247013,0.8991222222222223
Bbnplanet,0002,0.505288747,0.8990777777777778
Bbnplanet,0003,0.46493544,0.8990111111111111
Bbnplanet,0004,0.64719721,0.8990333333333334
Bellcanada,0000,15.255099469,0.899957
Bellcanada,0001,11.690210176,0.899886
Bellcanada,0002,28.28030884,0.8998835
Bellcanada,0003,19.335594586,0.89991
Bellcanada,0004,7.058961035,0.8999565
Bellsouth,0000,2.743301258,0.899881
Bellsouth,0001,2.743303152,0.899906
Bellsouth,0002,1.874125698,0.899886
Bellsouth,0003,2.226965293,0.899881
Bellsouth,0004,2.802062858,0.8999275
Belnet2003,0000,8.870478187,2.0544396666666667
Belnet2003,0001,1.068759449,4.797262
Belnet2003,0002,13.792015162,2.517917
Belnet2003,0003,0.387775148,0.89999
Belnet2003,0004,21.047106977,2.41846
Belnet2004,0000,3.209571859,2.644662
Belnet2004,0001,2.190257408,1.1139294
Belnet2004,0002,13.657481436,2.0691312
Belnet2004,0003,22.934427991,1.8017483333333333
Belnet2004,0004,13.033021449,1.9748036666666668
Belnet2005,0000,5.611382354,1.11507192
Belnet2005,0001,0.56322477,0.900032
Belnet2005,0002,2.130087916,0.9000592
Belnet2005,0003,1.111944709,0.921447
Belnet2005,0004,1.585596,1.3781444
Belnet2006,0000,9.597465898,1.071694
Belnet2006,0001,1.069152102,3.5466366666666667
Belnet2006,0002,8.857492403,1.1322915
Belnet2006,0003,11.135159423,1.1730283333333333
Belnet2006,0004,1.084818773,0.9000858
Belnet2007,0000,0.214945581,0.8999947333333332
Belnet2007,0001,0.346481771,0.9000256666666667
Belnet2007,0002,0.359595513,0.900061
Belnet2007,0003,0.284758699,0.900064
Belnet2007,0004,0.357920516,0.900049
Belnet2008,0000,0.278261458,0.8999873333333333
Belnet2008,0001,0.396085837,0.9000280000000002
Belnet2008,0002,0.400590593,0.90005
Belnet2008,0003,0.376092665,0.9000366
Belnet2008,0004,0.473524602,0.899998
Belnet2009,0000,0.299896406,0.9
Belnet2009,0001,0.498201573,0.899988
Belnet2009,0002,0.376695431,0.899993
Belnet2009,0003,0.376637981,0.900062
Belnet2009,0004,0.242033138,0.9000583333333334
Belnet2010,0000,0.550885952,0.9000109333333334
Belnet2010,0001,0.582867538,0.9000193333333334
Belnet2010,0002,0.50434791,0.900006
Belnet2010,0003,0.60511441,0.899983
Belnet2010,0004,0.404298614,0.900056
BeyondTheNetwork,0000,10.968496247,0.899962
BeyondTheNetwork,0001,8.584283687,0.8999646666666666
BeyondTheNetwork,0002,11.135596849,0.8999955
