Topology,DemandFile,InvCap,TabuIGPWO,MIP,2-SR full,3-SR full,2-SRPP,2-SRPP-adj,3-SRPP,3-SRPP-adj,2-CG4SR,3-CG4SR
Quest,0003,1.6682945,0.900703,0.899998,0.90001625,0.900032,0.8999865,0.8999865,0.900044,0.900044,0.900044,0.899991
Quest,0004,1.3606589166666665,0.936462,0.9000655,0.9000601666666667,0.90007325,0.9000715,0.9000715,0.900043,0.900043,0.90321675,0.9000744583333332
RedBestel,0000,1.6076288333333335,0.953743,0.8996212777777778,0.899536,-,0.899536,0.899536,0.899536,0.899536,0.8996235,0.8996144499999998
RedBestel,0001,1.553995,1.0669255,0.8996575,0.8996835,-,0.89965,0.89965,0.8997109249999995,0.8997109249999995,0.8997065,0.900164
RedBestel,0002,1.3803065,0.924324,0.899532,0.899532,-,0.8995319999999999,0.8995319999999999,0.899532,0.899532,0.899532,0.89959275
RedBestel,0003,1.2386185833333334,0.899529,0.899529,0.899529,-,0.899529,0.899529,0.899529,0.899529,0.8995835833333332,0.899529
RedBestel,0004,1.230106,0.899538,0.899538,0.899538,-,0.899538,0.899538,0.899538,0.899538,0.899538,0.899538
Rediris,0000,1.3853628,1.0010052,0.9045888,0.9046372,0.900044,0.9046316,0.9046444,0.9000736,0.9000299999999999,1.0471964,0.9941198
Rediris,0001,1.5062252,1.0347672,0.9093675,0.9093752999999999,0.9000484,0.9093683,0.9093024,0.900026,0.9000283,0.9107148,0.9895656
Rediris,0002,1.444356,1.1534742666666669,0.90867,0.908726,0.900084,0.9086676,0.9086932,0.9000652,0.9000296,0.9707072,0.9896065112540193
Rediris,0003,1.3232691,1.0896436,0.9336556,0.9337342,0.9000677,0.933626,0.9336732,0.9001028,0.9000172,0.9337512,0.9035514469453376
Rediris,0004,1.419375,1.0845863,0.9751784,0.9751766,0.900072347266881,0.9751784,0.9751819,0.9000655999999999,0.9000492,1.2141504,1.262284
Renam,0000,0.89975,0.89975,0.89975,0.89975,0.89975,0.89975,0.89975,0.89975,0.89975,0.89975,0.89975
Renam,0001,0.899875,0.899875,0.899875,0.899875,0.899875,0.899875,0.899875,0.899875,0.899875,0.899875,0.899875
Renam,0002,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875
Renam,0003,0.899899033607385,0.899899033607385,0.899899033607385,0.899899033607385,0.899899033607385,0.899899033607385,0.899899033607385,0.899899033607385,0.899899033607385,0.899899033607385,0.899899033607385
Renam,0004,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875,0.89875
Renater1999,0000,0.8996387096774193,0.8996387096774193,0.8996387096774193,0.8996387096774193,0.8996387096774193,0.8996387096774193,0.8996387096774193,0.8996387096774193,0.8996387096774193,0.8996387096774193,0.8996387096774193
Renater1999,0001,0.8996645161290323,0.8996645161290323,0.8996645161290323,0.8996645161290323,0.8996645161290323,0.8996645161290323,0.8996645161290323,0.8996645161290323,0.8996645161290323,0.8996645161290323,0.8996645161290323
Renater1999,0002,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291
Renater1999,0003,0.8996451612903226,0.8996451612903226,0.8996451612903226,0.8996451612903226,0.8996451612903226,0.8996451612903226,0.8996451612903226,0.8996451612903226,0.8996451612903226,0.8996451612903226,0.8996451612903226
Renater1999,0004,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291,0.8996580645161291
Renater2001,0000,1.3418258064516129,0.985558064516129,0.9568903225806452,0.956941935483871,0.899916129032258,0.9568838709677419,0.9568838709677419,0.899925,0.899925,0.9568903225806452,0.8999
Renater2001,0001,1.523458064516129,0.9086129032258065,1.1750129032258065,1.1750258064516128,0.899975,1.1750387096774193,1.1750387096774193,0.8999806451612903,0.8999806451612903,1.175083870967742,0.8999548387096774
Renater2001,0002,1.2977677419354838,0.8998322580645162,0.9475354838709678,0.947541935483871,0.8998322580645162,0.9475032258064516,0.9475032258064516,0.8998322580645162,0.8998322580645162,0.9475870967741935,0.8998322580645162
Renater2001,0003,0.8998322580645162,0.8998322580645162,0.8998322580645162,0.899832258064516,0.8998322580645162,0.8998322580645162,0.8998322580645162,0.8998322580645162,0.8998322580645162,0.8998322580645162,0.8998322580645162
