Topology,DemandFile,TotalTime,pre-opt-uMax,post-opt-uMax
Garr199904,0000,1800.185803722,1.105567741935484,1.105567741935484
Garr199904,0001,1800.284252477,1.0774903225806451,1.0774903225806451
Garr199904,0002,1800.237578968,1.1078064516129031,1.1078064516129031
Garr199904,0003,1800.048837978,1.0251935483870969,1.0251935483870969
Garr199904,0004,1800.120473702,1.4260709677419354,1.132937634408602
Garr199905,0000,1800.219203672,1.0625806451612902,1.0625806451612902
Garr199905,0001,1800.047922758,0.9556258064516129,0.9556258064516129
Garr199905,0002,1800.155734214,1.042516129032258,1.042516129032258
Garr199905,0003,1800.102312918,1.2415935483870968,1.2415935483870968
Garr199905,0004,1800.205980512,1.1750645161290323,1.1129645161290322
Garr200109,0000,1800.139999901,1.0787806451612902,1.0787806451612902
Garr200109,0001,1800.200738921,1.297109677419355,1.1864989247311828
Garr200109,0002,1800.191840461,1.143316129032258,1.143316129032258
Garr200109,0003,1800.158912011,1.1694774193548387,1.1588935483870968
Garr200109,0004,1800.267072796,1.1910387096774193,1.1809451612903226
Garr200112,0000,1800.163204482,1.0653741935483871,1.0653741935483871
Garr200112,0001,1800.195017918,1.0615419354838709,1.0615419354838709
Garr200112,0002,1800.121451757,1.163374193548387,1.163374193548387
Garr200112,0003,1800.385617238,1.2540709677419355,1.1665075268817202
Garr200112,0004,1800.193441964,1.1371290322580645,1.1371290322580645
Garr200212,0000,1800.052659728,1.0122709677419355,1.0122709677419355
Garr200212,0001,1800.150589312,1.281658064516129,1.083941935483871
Garr200212,0002,1800.35539618,1.5566064516129032,1.0186064516129032
Garr200212,0003,1800.571627851,1.0883225806451613,1.0883225806451613
Garr200212,0004,1800.207876586,1.359447311827957,1.1393483870967742
Garr200404,0000,1800.175253761,1.0720193548387096,1.0720193548387096
Garr200404,0001,1800.105407715,1.0196387096774193,1.0196387096774193
Garr200404,0002,1800.264604165,1.2503741935483872,1.230436559139785
Garr200404,0003,1800.020237119,1.1724451612903226,1.1724451612903226
Garr200404,0004,1800.184110893,1.0150193548387096,1.0150193548387096
Garr200902,0000,1804.56406088,2.2118672,1.0461849088756645
Garr200902,0001,1804.978734675,1.1961616,0.9958528
Garr200902,0002,1801.15485573,1.330906,0.9724172
Garr200902,0003,1800.861908262,1.0292556,0.899902
Garr200902,0004,1802.433869331,1.361124,1.1035294
Garr200908,0000,1800.986151161,1.888264,1.0382444
Garr200908,0001,1802.062249096,1.9892312,1.07929
Garr200908,0002,1801.980968158,1.6590224,1.1738852
Garr200908,0003,1803.059530619,1.8579448,1.151482375
Garr200908,0004,1801.858045405,1.6451688,0.8999153846153846
Garr200909,0000,1801.981220242,1.8460972,1.2523674
Garr200909,0001,1805.300386558,1.5310056,0.8999169230769231
Garr200909,0002,1805.331565542,1.7492150304708818,1.0474076
Garr200909,0003,1803.109261605,1.576176,0.9393634666666666
Garr200909,0004,1802.840087128,1.6305696,0.9003208
Garr200912,0000,1803.137799094,1.4969706,1.2829944
Garr200912,0001,1800.493255927,1.5403232,1.0550476
Garr200912,0002,1801.888946138,1.2863341530420966,0.8999138461538462
Garr200912,0003,1801.225011193,1.6261376,0.8999261538461538
Garr200912,0004,1801.850505495,1.4553692,1.1620518
Garr201001,0000,1803.518122674,1.9753044265593562,1.1682269617706238
Garr201001,0001,1800.845795129,1.619866800804829,0.971749
Garr201001,0002,1801.651428614,1.567985,0.9201434607645875
Garr201001,0003,1805.088287937,2.1552498993963782,1.0497835
Garr201001,0004,1803.226535485,1.993496579476861,1.3402096
Garr201003,0000,1805.513804077,1.1459297666666668,1.0227808
Garr201003,0001,1802.855906279,1.18724,0.9086904
Garr201003,0002,1803.997430522,1.2872212,0.8999184615384616
Garr201003,0003,1801.946388708,1.1627034,0.9789404
Garr201003,0004,1803.432396651,1.095492,0.9918328
Garr201004,0000,1802.121272046,1.3978076,0.981296
